Name,URL,Image,Amount,Price
Cooler Master IC ESSENTIAL E1,https://pcpartpicker.com/product/W4QfrH/cooler-master-ic-essential-e1-375-g-thermal-paste-rg-ice1-tg15-r1,https://cdna.pcpartpicker.com/static/forever/images/product/ca4cb3293f20ff6ff30636dbfa4993ed.256p.jpg,3.75 g,
EVGA Frostbite 2,https://pcpartpicker.com/product/CNTzK8/evga-frostbite-2-25-g-thermal-paste-400-tg-tm01-br,https://cdna.pcpartpicker.com/static/forever/images/product/19647f4715746c038ab56d86850e048c.256p.jpg,2.5 g,11.25
Cooler Master IC ESSENTIAL E2,https://pcpartpicker.com/product/TLFbt6/cooler-master-ic-essential-e2-35-g-thermal-paste-rg-ice2-ta15-r1,https://cdna.pcpartpicker.com/static/forever/images/product/d8852b3c7f0294acbd4a1d19c6d04233.256p.jpg,3.5 g,
Thermal Grizzly Polartherm X-10,https://pcpartpicker.com/product/R8RwrH/thermal-grizzly-polartherm-x-10-5-g-thermal-paste-pt-x10-005,https://m.media-amazon.com/images/I/117svfF73LL.jpg,5 g,5.99
be quiet! C2 Pro,https://pcpartpicker.com/product/Xb9wrH/be-quiet-c2-pro-1-g-thermal-paste-bz005,https://cdna.pcpartpicker.com/static/forever/images/product/2318df69d6c692db6543b34b8e73cb05.256p.jpg,1 g,12.40
Thermal Grizzly Polartherm X-10,https://pcpartpicker.com/product/9LV2FT/thermal-grizzly-polartherm-x-10-10-g-thermal-paste-pt-x10-010,https://m.media-amazon.com/images/I/11K4Q3FlvYL.jpg,10 g,11.99
Cooler Master MasterGel Pro,https://pcpartpicker.com/product/dhJmP6/cooler-master-mastergel-pro-15-g-thermal-paste-mgy-zosg-n15m-r2,https://cdna.pcpartpicker.com/static/forever/images/product/bec334e8556c8bc85ea12892f75fbddd.256p.jpg,1.5 g,
Prolimatech PK-Zero,https://pcpartpicker.com/product/RL2rxr/prolimatech-thermal-paste-propkzero300g,https://cdna.pcpartpicker.com/static/forever/images/product/a4023dfb4a09303c9920db2730de7683.256p.jpg,300 g,
Arctic Silver Ceramique 2 Tri-Linear,https://pcpartpicker.com/product/BZV48d/arctic-silver-thermal-paste-cmq225g,https://cdna.pcpartpicker.com/static/forever/images/product/e3c2b108f570385f0b3d642c35ffd8bd.256p.jpg,25 g,18.25
Prolimatech PK-3 Nano Aluminum High-Grade,https://pcpartpicker.com/product/h3Lypg/prolimatech-thermal-paste-propk315g,https://cdna.pcpartpicker.com/static/forever/images/product/5c7f2d3299a63d51cbbbc39465c83f3d.256p.jpg,1.5 g,7.99
Prolimatech PK-3 Nano Aluminum High-Grade,https://pcpartpicker.com/product/Fsdqqs/prolimatech-thermal-paste-propk35g,https://cdna.pcpartpicker.com/static/forever/images/product/9e2260ebd050bf84b2318d1ca6a647e9.256p.jpg,5 g,12.99
Zalman STC9,https://pcpartpicker.com/product/JfzXsY/zalman-stc9-4-g-thermal-paste-zm-stc9,https://cdna.pcpartpicker.com/static/forever/images/product/827c5c5fbf91513d50c4f79fd3c10cf2.256p.jpg,4 g,
Thermal Grizzly Polartherm X-8,https://pcpartpicker.com/product/Fh6NnQ/thermal-grizzly-polartherm-x-8-40-g-thermal-paste-pt-x8-040,https://m.media-amazon.com/images/I/21-lVUAdsXL.jpg,40 g,19.98
Prolimatech PK-2 Nano Aluminum High-Grade,https://pcpartpicker.com/product/34H323/prolimatech-thermal-paste-propk230g,https://cdna.pcpartpicker.com/static/forever/images/product/cc0f8e7471d364437696eb9623b756b5.256p.jpg,30 g,44.05
Masscool Stars-700,https://pcpartpicker.com/product/ZfXfrH/masscool-thermal-paste-stars700,https://cdna.pcpartpicker.com/static/forever/images/product/6e52d30ccac413ae4410535933c51184.256p.jpg,0.5 g,5.99
Sunbeam Iceberg TS-IB,https://pcpartpicker.com/product/W2h9TW/sunbeam-thermal-paste-tsib,https://cdna.pcpartpicker.com/static/forever/images/product/4e4794560c67fb4e92666870dc4fbc46.med.256p.jpg,1 g,
Thermaltake CL-O002-GROSGM-A,https://pcpartpicker.com/product/J8W9TW/thermaltake-thermal-paste-clo002grosgma,https://m.media-amazon.com/images/I/310IfqGKNsL.jpg,40 g,16.99
Akasa AK-TCW-03,https://pcpartpicker.com/product/nc6qqs/akasa-ak-tcw-03-5-g-thermal-paste-ak-tcw-03,https://cdna.pcpartpicker.com/static/forever/images/product/c65961376ec167a05f96056bbe7aa05a.256p.jpg,5 g,16.47
Thermal Hero NEO,https://pcpartpicker.com/product/D8Pv6h/thermal-hero-neo-50-g-thermal-paste-th-201250-us,https://m.media-amazon.com/images/I/21uEPfz4CVL.jpg,50 g,52.99
Gelid Solutions GC-Extreme,https://pcpartpicker.com/product/pGphP6/gelid-solutions-thermal-paste-tcgc0310g,https://m.media-amazon.com/images/I/3138QeAkkwL.jpg,10 g,
NZXT High-performance,https://pcpartpicker.com/product/zqZ9TW/nzxt-high-performance-15-g-thermal-paste-ba-tp015-01,https://cdna.pcpartpicker.com/static/forever/images/product/e0ce9336eb1e60057066ed6a4a62f267.256p.jpg,15 g,
Prolimatech PK-2 Nano Aluminum High-Grade,https://pcpartpicker.com/product/RKzv6h/prolimatech-thermal-paste-propk25g,https://cdna.pcpartpicker.com/static/forever/images/product/bf03014b52917053ce68774b3bf32be3.256p.jpg,5 g,20.30
Thermal Grizzly Polartherm X-8,https://pcpartpicker.com/product/Q9qrxr/thermal-grizzly-polartherm-x-8-10-g-thermal-paste-pt-x8-010,https://m.media-amazon.com/images/I/114tCYpqu1L.jpg,10 g,7.99
Thermal Hero QUANTUM,https://pcpartpicker.com/product/vVfV3C/thermal-hero-quantum-4-g-thermal-paste-th-501704-us,/static/forever/img/no-image.png,4 g,22.43
Prolimatech PK-1,https://pcpartpicker.com/product/7RrG3C/prolimatech-thermal-paste-propk15g,https://cdna.pcpartpicker.com/static/forever/images/product/0dc6c8b0c1aa93747c81e97cf71cc95e.256p.jpg,5 g,17.68
ARCTIC MX-4,https://pcpartpicker.com/product/tp7wrH/arctic-mx-4-20-g-thermal-paste-actc-mx4-20g,https://cdna.pcpartpicker.com/static/forever/images/product/8f5b161d7579a79d61c04413994f508b.256p.jpg,20 g,
ARCTIC MX-2,https://pcpartpicker.com/product/FZV48d/arctic-mx-2-65-g-thermal-paste-actc-mx2-65g,https://m.media-amazon.com/images/I/31lkO54uzwL.jpg,65 g,
ARCTIC MX-2,https://pcpartpicker.com/product/3wLypg/arctic-mx-2-4-g-thermal-paste-mx-2r,https://cdna.pcpartpicker.com/static/forever/images/product/858696f603cfebaa192c79fcf4ef6230.256p.jpg,4 g,
Deepcool Z3,https://pcpartpicker.com/product/pMPfrH/deepcool-thermal-paste-z3,https://cdna.pcpartpicker.com/static/forever/images/product/0080a512b9ffea2b9e69482283632ff3.256p.jpg,1.5 g,
NZXT High-performance,https://pcpartpicker.com/product/jw4Ycf/nzxt-high-performance-3-g-thermal-paste-ba-tp003-01,https://cdna.pcpartpicker.com/static/forever/images/product/64fec5cede25a54a4c221f1d0a19c91e.256p.jpg,3 g,
Cooler Master CryoFuze Violet,https://pcpartpicker.com/product/kyJgXL/cooler-master-cryofuze-violet-2-g-thermal-paste-mgy-nosg-n07m-r1,https://cdna.pcpartpicker.com/static/forever/images/product/4277f1a99896549c19c7bbe5e4a0bbd4.256p.jpg,2 g,
Gelid Solutions GC-4,https://pcpartpicker.com/product/CMFmP6/gelid-solutions-gc-4-10-g-thermal-paste-tc-gc-04-c,https://cdna.pcpartpicker.com/static/forever/images/product/f192e377685c2e8602e79f0c8166b3cb.256p.jpg,10 g,
Thermaltake TG-50,https://pcpartpicker.com/product/Y8fFf7/thermaltake-tg-50-4-g-thermal-paste-cl-o024-grosgm-a,https://cdna.pcpartpicker.com/static/forever/images/product/f3fbaa3f9ab0021a3c58844e59759691.256p.jpg,4 g,
Scythe Thermal Elixer G,https://pcpartpicker.com/product/sXrqqs/scythe-thermal-elixer-g-35-g-thermal-paste-scteg-1000,https://m.media-amazon.com/images/I/21NhfUgsMxL.jpg,3.5 g,16.95
Scythe Thermal Elixer 2,https://pcpartpicker.com/product/y4fxFT/scythe-thermal-elixer-2-5-g-thermal-paste-scte-2000,https://m.media-amazon.com/images/I/31DwZpHblNL.jpg,5 g,9.99
Thermal Hero ULTRA,https://pcpartpicker.com/product/sJBFf7/thermal-hero-ultra-10-g-thermal-paste-th-301310-us,https://m.media-amazon.com/images/I/215XSxKlZaL.jpg,10 g,15.23
Thermal Hero QUANTUM,https://pcpartpicker.com/product/XHpD4D/thermal-hero-quantum-10-g-thermal-paste-th-501710-us,https://m.media-amazon.com/images/I/21UE8GLs1bL.jpg,10 g,27.81
Thermalright Chill Factor 3,https://pcpartpicker.com/product/dXkwrH/thermalright-chill-factor-3-4g-thermal-paste-chill-factor-3,https://images-na.ssl-images-amazon.com/images/I/51kkeq9FnIL.jpg,4 g,
Antec Formula 7 Nano Diamond,https://pcpartpicker.com/product/WtvRsY/antec-thermal-paste-formula7,https://m.media-amazon.com/images/I/41mMgvFbyCL.jpg,4 g,
TUNIQ TX-4 Extreme Performance,https://pcpartpicker.com/product/28phP6/tuniq-thermal-paste-tx4,https://m.media-amazon.com/images/I/31XvOchS66L.jpg,1 g,
Cooler Master ThermalFusion 400,https://pcpartpicker.com/product/XvBv6h/cooler-master-thermal-paste-rgtf4tgu1gp,https://cdna.pcpartpicker.com/static/forever/images/product/8b51b477f12ee77699a86c9f02917b17.256p.jpg,4 g,
Prolimatech PK-2 Nano Aluminum High-Grade,https://pcpartpicker.com/product/9c9KHx/prolimatech-thermal-paste-propk215g,https://cdna.pcpartpicker.com/static/forever/images/product/78f1013586fec61e8217a1b936ccfd7f.256p.jpg,1.5 g,10.46
TUNIQ TX-2,https://pcpartpicker.com/product/kJJwrH/tuniq-thermal-paste-tx2,https://images-na.ssl-images-amazon.com/images/I/314EX9NQJBL.jpg,3.5 g,
Masscool G751 Shin-Etsu,https://pcpartpicker.com/product/mDPfrH/masscool-thermal-paste-g751,https://m.media-amazon.com/images/I/31uJTGzgKdL.jpg,0.5 g,
Thermene Graphene,https://pcpartpicker.com/product/RJFPxr/thermene-thermal-paste-t23ml,/static/forever/img/no-image.png,1.5 g,
Prolimatech PK-Zero,https://pcpartpicker.com/product/FBZ2FT/prolimatech-thermal-paste-propkzero5g,https://cdna.pcpartpicker.com/static/forever/images/product/4c5ed468d520ee5f6cf3eebd56410536.256p.jpg,9 g,
Phanteks PH-NDC_02,https://pcpartpicker.com/product/PCzZxr/phanteks-ph-ndc_02-2g-thermal-paste-ph-ndc_02,https://m.media-amazon.com/images/I/31DlPjDbtRL.jpg,5 g,16.37
Cooler Master MasterGel Maker,https://pcpartpicker.com/product/zjH8TW/cooler-master-mastergel-maker-15-g-thermal-paste-mastergel-maker,https://cdna.pcpartpicker.com/static/forever/images/product/9defdac667d32ca465424fbe9e5fa480.256p.jpg,2 g,
Thermalright TF8,https://pcpartpicker.com/product/HCwkcf/thermalright-tf8-2-g-thermal-paste-tf-8-2g,https://m.media-amazon.com/images/I/31ndH33FxsL.jpg,1.5 g,
Thermalright TFX,https://pcpartpicker.com/product/hbpmP6/thermalright-tfx-2-g-thermal-paste-tfx-2g,https://cdna.pcpartpicker.com/static/forever/images/product/5e419f1f097a6a43988da13e65090eea.256p.jpg,2 g,
Thermalright TFX,https://pcpartpicker.com/product/XDwkcf/thermalright-tfx-62-g-thermal-paste-tfx-62,https://m.media-amazon.com/images/I/31oVeso1jXL.jpg,2 g,
