Name,URL,Image,Size,Color,RPM,Airflow,Noise Level,PWM,Price
Corsair iCUE LINK RX120 3-Pack,https://pcpartpicker.com/product/8wfxFT/corsair-icue-link-rx120-742-cfm-120-mm-fans-3-pack-co-9051018-ww,https://cdna.pcpartpicker.com/static/forever/images/product/9e83ce400f4af8c001fb031c252fde6f.256p.jpg,120 mm,Black / White,2100 RPM,10.5 - 74.2 CFM,10 - 36 dB,No,84.99
Noctua NF-A14x25 G2 PWM Sx2-PP 2-Pack,https://pcpartpicker.com/product/6GWJ7P/noctua-nf-a14x25-g2-pwm-sx2-pp-916-cfm-140-mm-fans-2-pack-nf-a14x25-g2-pwm-sx2-pp,https://cdna.pcpartpicker.com/static/forever/images/product/ee0e7e17d830be648e7ea552b98a176b.256p.jpg,140 mm,Brown,1250 - 1500 RPM,74.8 - 91.6 CFM,19.7 - 24.8 dB,Yes,84.95
Corsair RS120 ARGB,https://pcpartpicker.com/product/hk26Mp/corsair-rs120-argb-728-cfm-120-mm-fan-co-9050184-ww,https://cdna.pcpartpicker.com/static/forever/images/product/af65d99502cba100b8ee2f86ca65728e.256p.jpg,120 mm,White,420 - 2100 RPM,13.3 - 72.8 CFM,10 - 36 dB,Yes,19.98
Thermalright TL-C12CW-S X3 3-Pack,https://pcpartpicker.com/product/XYPQzy/thermalright-tl-c12cw-s-x3-6617-cfm-120-mm-fans-3-pack-tl-c12cw-s-x3-d6,https://m.media-amazon.com/images/I/41MFGzgEQQL.jpg,120 mm,White,1550 RPM,66.17 CFM,25.6 dB,Yes,13.19
Lian Li UNI FAN SL Wireless 3-Pack,https://pcpartpicker.com/product/DCsV3C/lian-li-uni-fan-sl-wireless-6405-cfm-120-mm-fans-3-pack-12sl1w3w,https://cdna.pcpartpicker.com/static/forever/images/product/19ebb17240352499a7ac7fff20f5eff7.256p.jpg,120 mm,White,400 - 2000 RPM,64.05 CFM,28.5 dB,Yes,79.98
be quiet! Silent Wings Pro 4,https://pcpartpicker.com/product/L8NxFT/be-quiet-silent-wings-pro-4-9741-cfm-140-mm-fan-bl099,https://cdna.pcpartpicker.com/static/forever/images/product/00355ad4ed6754978440be4706cd661b.256p.jpg,140 mm,Black,2400 RPM,97.41 CFM,36.8 dB,Yes,29.40
Lian Li UNI FAN TL 120 3-Pack,https://pcpartpicker.com/product/T7grxr/lian-li-uni-fan-tl-120-901-cfm-120-mm-fans-3-pack-12tl3w,https://cdna.pcpartpicker.com/static/forever/images/product/f2c353a2ab0b485782e21ea3a7240d92.256p.jpg,120 mm,White,200 - 2600 RPM,90.1 CFM,33 dB,No,171.17
Noctua NF-A14x25 G2 PWM chromax.black,https://pcpartpicker.com/product/tqy8TW/noctua-nf-a14x25-g2-pwm-chromaxblack-9158-cfm-140-mm-fan-nf-a14x25-g2-pwm-chromaxblack,https://cdna.pcpartpicker.com/static/forever/images/product/cdde8d152883b33ab43da9f3c3defb41.256p.jpg,140 mm,Black,,0 - 91.58 CFM,0 - 24.8 dB,Yes,44.95
Corsair iCUE LINK LX120 RGB 3-Pack,https://pcpartpicker.com/product/HdLdnQ/corsair-icue-link-lx120-rgb-699-cfm-120-mm-fans-3-pack-co-9051026-ww,https://cdna.pcpartpicker.com/static/forever/images/product/4289ddce095f6004a6e3cbb06083823b.256p.jpg,120 mm,Black,400 - 2400 RPM,9.75 - 69.9 CFM,10 - 36 dB,Yes,99.99
Thermalright TL-M12Q-S X3 3-Pack,https://pcpartpicker.com/product/Qj9nTW/thermalright-tl-m12q-s-x3-689-cfm-120-mm-fans-3-pack-tl-m12q-s-x3,https://cdna.pcpartpicker.com/static/forever/images/product/27210d1a2829c241c4f8ca8ef5e4dfd1.256p.jpg,120 mm,Black,2000 RPM,68.9 CFM,28.2 dB,Yes,26.90
Thermalright TL-C12C-S,https://pcpartpicker.com/product/BM7scf/thermalright-tl-c12c-s-6617-cfm-120-mm-fan-tl-c12c-s,https://cdna.pcpartpicker.com/static/forever/images/product/af6e68e6a9c0f9803e9c8cf7b0eb82a3.256p.jpg,120 mm,Black,1550 RPM,66.17 CFM,25.6 dB,Yes,7.90
Thermalright TL-C12C-S X5 5-Pack,https://pcpartpicker.com/product/x3Kscf/thermalright-tl-c12c-s-x5-6617-cfm-120-mm-fans-5-pack-tl-c12c-s-x5,/static/forever/img/no-image.png,120 mm,Black,1550 RPM,66.17 CFM,25.6 dB,Yes,24.39
Lian Li UNI FAN SL-INF Wireless 3-Pack,https://pcpartpicker.com/product/N2WmP6/lian-li-uni-fan-sl-inf-wireless-697-cfm-120-mm-fans-3-pack-12rslin1w3w,https://cdna.pcpartpicker.com/static/forever/images/product/3e5e73e7f0832e7c69c1f5a9b9a0f386.256p.jpg,120 mm,White,200 - 2200 RPM,69.7 CFM,32.2 dB,Yes,104.90
NZXT F120 RGB Core,https://pcpartpicker.com/product/3HGhP6/nzxt-f120-rgb-core-7886-cfm-120-mm-fan-rf-c12sf-b1,https://cdna.pcpartpicker.com/static/forever/images/product/d3b7eba12fff50eab9f50e3a097d7b86.256p.jpg,120 mm,Black,500 - 1800 RPM,78.86 CFM,33.88 dB,Yes,19.98
Thermalright TL-C12C X5 5-Pack,https://pcpartpicker.com/product/rFBzK8/thermalright-tl-c12c-x5-6617-cfm-120-mm-fans-5-pack-tl-c12c-x5,https://m.media-amazon.com/images/I/41HbBvwSEXL.jpg,120 mm,Black,1550 RPM,66.17 CFM,25.6 dB,Yes,18.09
ARCTIC P12 Max,https://pcpartpicker.com/product/9r6NnQ/arctic-p12-max-8104-cfm-120-mm-fan-acfan00280a,https://cdna.pcpartpicker.com/static/forever/images/product/fbf33a60133ea406babd48a18a3dc583.256p.jpg,120 mm,Black,200 - 3300 RPM,81.04 CFM,,Yes,
Lian Li UNI FAN TL Wireless 3-Pack,https://pcpartpicker.com/product/GjcBD3/lian-li-uni-fan-tl-wireless-834-cfm-120-mm-fans-3-pack-12rtl1w3b,https://m.media-amazon.com/images/I/310IPoYd-5L.jpg,120 mm,Black,200 - 2300 RPM,83.4 CFM,34 dB,Yes,103.99
Lian Li UNI FAN SL-INF Wireless 3-Pack,https://pcpartpicker.com/product/njBFf7/lian-li-uni-fan-sl-inf-wireless-697-cfm-120-mm-fans-3-pack-12rslin1w3b,https://cdna.pcpartpicker.com/static/forever/images/product/74f82c3a97c64f6b54b90aefd6c14226.256p.jpg,120 mm,Black,200 - 2200 RPM,69.7 CFM,32.2 dB,Yes,104.99
be quiet! Pure Wings 3,https://pcpartpicker.com/product/QM26Mp/be-quiet-pure-wings-3-499-cfm-120-mm-fan-bl105,https://cdna.pcpartpicker.com/static/forever/images/product/b28130a638657a490849c499b4967907.256p.jpg,120 mm,Black,1600 RPM,49.9 CFM,25.5 dB,Yes,11.70
Noctua A12x15 PWM chromax.black.swap,https://pcpartpicker.com/product/FM3mP6/noctua-nf-a12x15-pwm-chromaxblackswap-5544-cfm-120-mm-fan-nf-a12x15-pwm-chromaxblackswap,https://cdna.pcpartpicker.com/static/forever/images/product/728bbf66c191e0bb6efc51465589ca00.256p.jpg,120 mm,Black / Multicolor,450 - 1850 RPM,55.44 CFM,23.9 dB,Yes,29.95
Noctua A14 PWM chromax.black.swap,https://pcpartpicker.com/product/sWM323/noctua-nf-a14-pwm-chromaxblackswap-825-cfm-140mm-fan-nf-a14-pwm-chromaxblackswap,https://m.media-amazon.com/images/I/41-tYGcIWEL.jpg,140 mm,Multicolor,300 - 1500 RPM,82.52 CFM,24.6 dB,Yes,28.95
Lian Li Uni Fan SL-Infinity 3-Pack,https://pcpartpicker.com/product/VDTFf7/lian-li-uni-fan-sl-infinity-636-cfm-120-mm-fans-3-pack-12rslin3w,https://cdna.pcpartpicker.com/static/forever/images/product/742b1299a0287db26785a96ef54aca31.256p.jpg,120 mm,White,200 - 2100 RPM,63.6 CFM,32 dB,Yes,
Lian Li Uni Fan SL-Infinity,https://pcpartpicker.com/product/JpjBD3/lian-li-uni-fan-sl-infinity-727-cfm-140-mm-fan-uf-slin140-1b,https://cdna.pcpartpicker.com/static/forever/images/product/045c4804b47542dfe92e31848b638e2c.256p.jpg,140 mm,Black,200 - 1600 RPM,72.7 CFM,28 dB,Yes,29.99
Corsair iCUE LINK LX120-R RGB 3-Pack,https://pcpartpicker.com/product/NFJp99/corsair-icue-link-lx120-r-rgb-70-cfm-120-mm-fans-3-pack-co-9051054-ww,https://cdna.pcpartpicker.com/static/forever/images/product/51f5b391d02b0744b9392a79d0e577f6.256p.jpg,120 mm,White,2400 RPM,70 CFM,35.1 dB,Yes,114.99
Lian Li UNI FAN SL Wireless 3-Pack,https://pcpartpicker.com/product/wtV2FT/lian-li-uni-fan-sl-wireless-6405-cfm-120-mm-fans-3-pack-12sl1w3b,https://cdna.pcpartpicker.com/static/forever/images/product/1c2e20edd0898dfa1d70f1621d91f878.256p.jpg,120 mm,Black,400 - 2000 RPM,64.05 CFM,28.5 dB,Yes,69.99
Noctua F12 industrialPPC-3000 PWM,https://pcpartpicker.com/product/Mb4gXL/noctua-case-fan-nff12industrialppc3000pwm,https://m.media-amazon.com/images/I/410jrJ5lx7L.jpg,120 mm,Brown / Black,750 - 3000 RPM,109.89 CFM,43.5 dB,Yes,29.95
Corsair iCUE LINK RX120 3-Pack,https://pcpartpicker.com/product/kPWJ7P/corsair-icue-link-rx120-742-cfm-120-mm-fans-3-pack-co-9051022-ww,https://cdna.pcpartpicker.com/static/forever/images/product/ad0bc7d6fae7382dd95ba296249375e8.256p.jpg,120 mm,White,2100 RPM,10.5 - 74.2 CFM,10 - 36 dB,No,84.99
ARCTIC P12 Pro Reverse A-RGB 3-Pack,https://pcpartpicker.com/product/s2fV3C/arctic-p12-pro-reverse-a-rgb-73-cfm-120-mm-fans-3-pack-acfan00334a,https://cdna.pcpartpicker.com/static/forever/images/product/ae83de5b6ddfcadc1e20c540a32af810.256p.jpg,120 mm,White,500 - 3000 RPM,73 CFM,,Yes,30.99
Lian Li Uni Fan SL-Infinity,https://pcpartpicker.com/product/vDC48d/lian-li-uni-fan-sl-infinity-727-cfm-140-mm-fan-uf-slin140-1w,https://cdna.pcpartpicker.com/static/forever/images/product/f57706dbd6a5d179ba12a67b30c792d7.256p.jpg,140 mm,White,200 - 1600 RPM,72.7 CFM,28 dB,Yes,36.40
Corsair iCUE ML RGB ELITE Premium 3-Pack,https://pcpartpicker.com/product/dND7YJ/corsair-icue-ml-rgb-elite-premium-581-cfm-120-mm-fans-3-pack-co-9050113-ww,https://cdna.pcpartpicker.com/static/forever/images/product/86385013ee39ba18c0601227b0504065.256p.jpg,120 mm,Black,450 - 2000 RPM,14.86 - 58.1 CFM,10 - 30.4 dB,Yes,222.98
ARCTIC P12 PWM PST,https://pcpartpicker.com/product/68WfrH/arctic-p12-pwm-pst-563-cfm-120-mm-fan-acfan00120a,https://cdna.pcpartpicker.com/static/forever/images/product/db1d3003e483e6f57fd4d886f48c3a03.256p.jpg,120 mm,Black,200 - 1800 RPM,56.3 CFM,,Yes,9.88
ARCTIC P12 Slim PWM PST 3-Pack,https://pcpartpicker.com/product/xBhv6h/arctic-p12-slim-pwm-pst-421-cfm-120-mm-fans-3-pack-acfan00275a,https://cdna.pcpartpicker.com/static/forever/images/product/af14c991bf13b2d8e78b00bb6a53327d.256p.jpg,120 mm,Black,300 - 2100 RPM,42.1 CFM,22.5 dB,Yes,22.34
ARCTIC P12 Pro A-RGB 3-Pack,https://pcpartpicker.com/product/GjKnTW/arctic-p12-pro-a-rgb-77-cfm-120-mm-fans-3-pack-acfan00326a,https://cdna.pcpartpicker.com/static/forever/images/product/57da80ce48cbc3d5371f33b9b289b88c.256p.jpg,120 mm,White,600 - 3000 RPM,77 CFM,,Yes,29.99
Noctua A14 industrialPPC-3000 PWM,https://pcpartpicker.com/product/ntXfrH/noctua-a14-industrialppc-3000-pwm-1585-cfm-140-mm-fan-nf-a14-industrialppc-3000-pwm,https://m.media-amazon.com/images/I/41BtrjQx5UL.jpg,140 mm,Brown / Black,800 - 3000 RPM,158.5 CFM,41.3 dB,Yes,32.95
ARCTIC P12 Pro Reverse A-RGB,https://pcpartpicker.com/product/DLKnTW/arctic-p12-pro-reverse-a-rgb-73-cfm-120-mm-fan-acfan00322a,https://cdna.pcpartpicker.com/static/forever/images/product/5948ebdbbc5d7cfb25a8c0b1aa8986de.256p.jpg,120 mm,Black,500 - 3000 RPM,73 CFM,,Yes,12.99
Noctua NF-A14x25 G2 PWM,https://pcpartpicker.com/product/WgRwrH/noctua-nf-a14x25-g2-pwm-916-cfm-140-mm-fan-nf-a14x25-g2-pwm,https://cdna.pcpartpicker.com/static/forever/images/product/b08ce15bc863d94f449517da25a7df48.256p.jpg,140 mm,Brown,1250 - 1500 RPM,74.8 - 91.6 CFM,19.7 - 24.8 dB,Yes,44.95
