Name,URL,Image,Capacity (W),Capacity (VA),Price
APC SURTD6000RMXLP3U,https://pcpartpicker.com/product/HM8H99/apc-ups-surtd6000rmxlp3u,https://cdna.pcpartpicker.com/static/forever/images/product/8ad602d1eee258e12ad26c2691d1537a.256p.jpg,4200 W,6000 VA,8249.00
APC Back-UPS Pro 1350S,https://pcpartpicker.com/product/H9bTwP/apc-back-ups-pro-1350s-ups-br1350ms,https://cdna.pcpartpicker.com/static/forever/images/product/c13bfd373ec9390f0a9bb103ac89be9e.256p.jpg,810 W,1350 VA,237.58
VERTIV Liebert PST5,https://pcpartpicker.com/product/YwCCmG/vertiv-liebert-pst5-ups-pst5-660mt120,https://cdna.pcpartpicker.com/static/forever/images/product/21d1b78cc4116e81d03ee9e9613787b8.256p.jpg,400 W,660 VA,111.40
CyberPower GX1500U,https://pcpartpicker.com/product/HWNgXL/cyberpower-gx1500u-ups-gx1500u,/static/forever/img/no-image.png,900 W,1500 VA,249.99
CyberPower CP1300EPFCLCD,https://pcpartpicker.com/product/Rw3H99/cyberpower-cp1300epfclcd-ups-cp1300epfclcd,https://m.media-amazon.com/images/I/41qXFaEVpDL.jpg,780 W,1300 VA,
APC SMT1500I,https://pcpartpicker.com/product/bPs8TW/apc-ups-smt1500i,https://images-na.ssl-images-amazon.com/images/I/41OYGphGoNL.jpg,980 W,1500 VA,1064.18
APC SRT8KRMXLT,https://pcpartpicker.com/product/Hm8H99/apc-ups-srt8krmxlt,https://cdna.pcpartpicker.com/static/forever/images/product/83b42f625ea9a718a56f508fed96ddd1.256p.jpg,8000 W,8000 VA,6492.06
CyberPower EC650LCD,https://pcpartpicker.com/product/xwVBD3/cyberpower-ups-ec650lcd,https://cdna.pcpartpicker.com/static/forever/images/product/bdf5a3fa74e49f6324ca3b9273b42944.256p.jpg,390 W,650 VA,96.95
APC SMT2200,https://pcpartpicker.com/product/jr7CmG/apc-ups-smt2200,https://m.media-amazon.com/images/I/411wiKJCaHL.jpg,1980 W,2200 VA,1480.55
APC SRT5KRMXLT,https://pcpartpicker.com/product/ynnG3C/apc-ups-srt5krmxlt,https://cdna.pcpartpicker.com/static/forever/images/product/d169e749414e409d6e5dc0b0ee79eb17.256p.jpg,4250 W,5000 VA,2832.00
Tripp Lite OMNI900LCD,https://pcpartpicker.com/product/YVYWGX/tripp-lite-ups-omni900lcd,https://cdna.pcpartpicker.com/static/forever/images/product/47428b9f3dd123c977b615eebbf35aa8.256p.jpg,475 W,900 VA,149.99
APC Back-UPS 850,https://pcpartpicker.com/product/J7mmP6/apc-back-ups-850-ups-bx850m,https://cdna.pcpartpicker.com/static/forever/images/product/bea42fea8b08095c11129848988cc12d.256p.jpg,510 W,850 VA,161.99
CyberPower OL2200RTXL2U,https://pcpartpicker.com/product/FvVBD3/cyberpower-ups-ol2200rtxl2u,https://cdna.pcpartpicker.com/static/forever/images/product/a348182081dfd18467b59321bb9a8554.256p.jpg,1800 W,2200 VA,1782.95
CyberPower CP1500EPFCLCD,https://pcpartpicker.com/product/CQBzK8/cyberpower-cp1500epfclcd-ups-cp1500epfclcd,https://cdna.pcpartpicker.com/static/forever/images/product/780091bdc42990e1d158f7bf59b75400.256p.jpg,900 W,1500 VA,
Tripp Lite SMART1500LCD,https://pcpartpicker.com/product/xLDzK8/tripp-lite-ups-smart1500lcd,https://cdna.pcpartpicker.com/static/forever/images/product/7173169d17376d3743b1bcfd40d121c0.256p.jpg,900 W,1500 VA,291.58
APC SRT5KXLT,https://pcpartpicker.com/product/cD8H99/apc-ups-srt5kxlt,https://cdna.pcpartpicker.com/static/forever/images/product/5be41b2c39e45ead82c729a27417626a.256p.jpg,4250 W,5000 VA,2855.00
APC BE650G1,https://pcpartpicker.com/product/tqkwrH/apc-ups-be650g1,https://cdna.pcpartpicker.com/static/forever/images/product/1b27d3483a66207635a172f56dced98a.256p.jpg,390 W,650 VA,105.99
APC SUM3000RMXL2U,https://pcpartpicker.com/product/tGfmP6/apc-ups-sum3000rmxl2u,https://cdna.pcpartpicker.com/static/forever/images/product/90f8020722f425704be7e141a213910b.256p.jpg,2850 W,3000 VA,1998.11
APC SRT6KRMXLT,https://pcpartpicker.com/product/J3FXsY/apc-ups-srt6krmxlt,https://cdna.pcpartpicker.com/static/forever/images/product/76a4f60321f97030916dc4ed18fd17b1.256p.jpg,6000 W,6000 VA,6747.66
