Name,URL,Image,Type,Interface,Capacity,Price / GB,Color,Price
Apricorn Aegis Fortress,https://pcpartpicker.com/product/xCP8TW/apricorn-aegis-fortress-4-tb-external-ssd-a25-3pl256-s4000f,https://cdna.pcpartpicker.com/static/forever/images/product/5230f91bb9360a4ff080f2d4aa09fc98.256p.jpg,Portable,USB Type-A 3.2 Gen 1,4000 GB,$0.359,Black,1437.31
Western Digital Elements Portable,https://pcpartpicker.com/product/yzQG3C/western-digital-elements-portable-4-tb-external-hard-drive-wdbu6y0040bbk-wesn,https://cdna.pcpartpicker.com/static/forever/images/product/39debe5a3744869b79e636affcf9dd6f.256p.jpg,Portable,USB Type-A 3.2 Gen 1,4000 GB,$0.034,Black,134.99
Samsung T7 Shield,https://pcpartpicker.com/product/RvrRsY/samsung-t7-shield-1-tb-external-ssd-mu-pe1t0sam,https://cdna.pcpartpicker.com/static/forever/images/product/9535dcc9d6613903c9baef79bc12a852.256p.jpg,Portable,USB Type-C 3.2 Gen 2,1000 GB,$0.225,Black,224.99
ADATA DashDrive Durable HD650,https://pcpartpicker.com/product/s3K7YJ/a-data-external-hard-drive-ahd6501tu3cbk,https://cdna.pcpartpicker.com/static/forever/images/product/b43b9fa5a61ca902b7c8c00ed1ae4937.256p.jpg,Portable,USB Type-A 3.2 Gen 1,1000 GB,$0.091,,91.27
Seagate Expansion with Rescue Data Recovery Services,https://pcpartpicker.com/product/dky8TW/seagate-expansion-amer-22-tb-external-hard-drive-stkp22000400,https://cdna.pcpartpicker.com/static/forever/images/product/08434d1b8573da6c52e005d9d94a0776.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,22000 GB,$0.018,,389.99
Seagate Portable Drive,https://pcpartpicker.com/product/Z2bypg/seagate-portable-drive-4-tb-external-hard-drive-stgx4000400,https://cdna.pcpartpicker.com/static/forever/images/product/3492fde50293c29c9662c8c2d0ee2aad.256p.jpg,Portable,USB Type-A 3.2 Gen 1,4000 GB,$0.032,Black,129.66
Western Digital ELEMENTS,https://pcpartpicker.com/product/2FPgXL/western-digital-10-tb-external-hard-drive-wdbwlg0100hbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/8abc241a0252550fdf1c83a2b7cbc52d.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,10000 GB,$0.025,Black,254.99
Western Digital easystore,https://pcpartpicker.com/product/xtGhP6/western-digital-easystore-20-tb-external-hard-drive-wdbama0200hbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/9cd244d9e226798cf82fb7a702e9b510.256p.jpg,Desktop,USB Type-A,20000 GB,$0.020,Black,399.99
Corsair EX400U,https://pcpartpicker.com/product/Mhtkcf/corsair-ex400u-4-tb-external-ssd-cssd-ex400u4tb,https://cdna.pcpartpicker.com/static/forever/images/product/828b8a7dc129a36eab7452c860af056a.256p.jpg,Portable,USB Type-C 4.0 Gen 3x2,4000 GB,,Black,
Samsung T9 Portable,https://pcpartpicker.com/product/trtLrH/samsung-t9-portable-2-tb-external-ssd-mu-pg2t0bam,https://cdna.pcpartpicker.com/static/forever/images/product/9c7e7614e3d9f1ebff03ccc8af23721f.256p.jpg,Portable,USB Type-C 3.2 Gen 2x2,2000 GB,$0.188,Black,376.77
Seagate Backup Plus Hub,https://pcpartpicker.com/product/G3rcCJ/seagate-backup-plus-hub-8-tb-external-hard-drive-stel8000100,https://m.media-amazon.com/images/I/21ek1FM3h-S.jpg,Desktop,USB Type-A 3.2 Gen 2,8000 GB,,,
Western Digital ELEMENTS,https://pcpartpicker.com/product/J8m2FT/western-digital-elements-22-tb-external-hard-drive-wdbwlg0220hbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/341677c69ea9f9175a501ca9445ce554.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,22000 GB,$0.022,Black,489.99
Crucial X9,https://pcpartpicker.com/product/MWwmP6/crucial-x9-4-tb-external-ssd-ct4000x9ssd9,https://cdna.pcpartpicker.com/static/forever/images/product/76a2daaba6b1c9115fceaa5654ca7cd6.256p.jpg,Portable,USB Type-C 3.2 Gen 2,4000 GB,$0.089,Black,354.99
Samsung T7 Portable,https://pcpartpicker.com/product/m8BhP6/samsung-t7-portable-2-tb-external-ssd-mu-pc2t0tam,https://cdna.pcpartpicker.com/static/forever/images/product/08192a87197a80158890051fbdc3469a.256p.jpg,Portable,USB Type-C 3.2 Gen 1,2000 GB,$0.153,Black / Silver,306.77
Corsair EX100U,https://pcpartpicker.com/product/N67G3C/corsair-ex100u-4-tb-external-ssd-cssd-ex100u4tb,https://cdna.pcpartpicker.com/static/forever/images/product/1fb9c6151730e5538c614d8705ce534c.256p.jpg,Portable,USB Type-C 3.2 Gen 2x2,4000 GB,$0.090,Black,359.99
Seagate Expansion,https://pcpartpicker.com/product/dZ3mP6/seagate-expansion-16-tb-external-hard-drive-steb16000400,https://cdna.pcpartpicker.com/static/forever/images/product/56ca9985593f0821e4a5491640abb1b5.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,16000 GB,,Black,
Western Digital My Book Duo,https://pcpartpicker.com/product/R4MTwP/western-digital-my-book-duo-24-tb-external-hard-drive-wdbfbe0240jbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/1b25f27412f2de26de0fffaccbe435ac.256p.jpg,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",24000 GB,$0.031,Black,749.99
Samsung T5 Portable,https://pcpartpicker.com/product/bKwypg/samsung-t5-portable-1-tb-external-ssd-mu-pa1t0gww,https://cdna.pcpartpicker.com/static/forever/images/product/052aa6aee0ffec62cc3cc25034a9d908.256p.jpg,Portable,USB Type-C 3.2 Gen 2,1000 GB,,Gold,
Western Digital ELEMENTS,https://pcpartpicker.com/product/3bcRsY/western-digital-elements-12-tb-external-hard-drive-wdbwlg0120hbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/7d12719687be88e3e09120fc92848bd3.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,12000 GB,$0.025,,304.99
Western Digital ELEMENTS,https://pcpartpicker.com/product/XPcBD3/western-digital-elements-18-tb-external-hard-drive-wdbwlg0180hbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/341677c69ea9f9175a501ca9445ce554.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,18000 GB,$0.020,Black,359.99
Western Digital My Book,https://pcpartpicker.com/product/Nz66Mp/western-digital-my-book-4tb-external-hard-drive-wdbbgb0040hbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/896db414e8a6b4a41254dcbb9e4eb8e6.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,4000 GB,$0.046,Black,185.00
LaCie  Rugged Mini,https://pcpartpicker.com/product/9Q8bt6/lacie-rugged-mini-2-tb-external-hard-drive-lac9000298,https://cdna.pcpartpicker.com/static/forever/images/product/401c102a7912a7f4cb0a13aaf957d026.256p.jpg,Portable,USB Type-A 3.2 Gen 1,2000 GB,$0.050,Orange / Silver,99.99
Western Digital My Book,https://pcpartpicker.com/product/mvYQzy/western-digital-my-book-14-tb-external-hard-drive-wdbbgb0140hbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/8b91bc5be811ac2965b4cb4ddeb91c96.256p.jpg,Desktop,USB Type-A 3.2 Gen 2,14000 GB,$0.025,Black,349.99
