Name,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Fan Support,Included Fans,Radiator Support,Dimensions,Volume,Model
Gigabyte GZ-P5HB5C,Gigabyte ,GZ-P5HB5C ,ATX Mid Tower ,Black ,None ,None ,No ,USB 2.0 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ,," 4 x External 5.25""</li> 1 x External 3.5""</li> 4 x Internal 3.5""</li> ",7 x Full-Height ,80 mm ,,,,,
Silverstone SG01B-F-USB3.0,Silverstone , SG01B-F-USB3.0 | SST-SG01B-F-USB3.0 | ,MicroATX Desktop ,Black ,None ,None ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 243 mm</li> 9.567""</li> "," 2 x External 5.25""</li> 2 x Internal 3.5""</li> ",4 x Full-Height ,80 mm ,,," 392 mm x 262 mm x 211 mm</li> 15.433"" x 10.315"" x 8.307""</li> ", 21.671 L</li> 0.765 ft³</li> ,
Cooler Master Elite 342,Cooler Master ,RC-343-KKN3 ,MicroATX Mini Tower ,Black ,None ,None ,No ,USB 2.0 Type-A , Micro ATX</li> Mini ITX</li> ," 363 mm</li> 14.291""</li> "," 2 x External 5.25""</li> 1 x External 3.5""</li> 5 x Internal 3.5""</li> ",4 x Full-Height , 80 mm</li> 120 mm</li> ,,120 mm ," 440 mm x 180 mm x 352 mm</li> 17.323"" x 7.087"" x 13.858""</li> ", 27.878 L</li> 0.985 ft³</li> ,
Enermax ECA3175,Enermax ,ECA3175-BL ,ATX Mid Tower ,Black ,None ,Acrylic ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 252 mm</li> 9.921""</li> "," 4 x External 5.25""</li> 1 x External 3.5""</li> 6 x Internal 3.5""</li> ",7 x Full-Height , 80 mm</li> 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> ," 450 mm x 410 mm x 184 mm</li> 17.717"" x 16.142"" x 7.244""</li> ", 33.948 L</li> 1.199 ft³</li> ,
Silverstone TJ04B-EW,Silverstone , SST-TJ04B-EW | TJ04B-EW | ,ATX Mid Tower ,Black ,None ,Acrylic ,No ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> SSI CEB</li> ," 431 mm</li> 16.969""</li> "," 4 x External 5.25""</li> 9 x Internal 3.5""</li> 6 x Internal 2.5""</li> ",8 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> ," 214 mm x 488 mm x 488 mm</li> 8.425"" x 19.213"" x 19.213""</li> ", 50.963 L</li> 1.8 ft³</li> ,
Lian Li PC-CK101,Lian Li ,PC-CK101S ,Mini ITX Tower ,Black ,300 W ,None ,No ,USB 3.2 Gen 1 Type-A , Mini ITX</li> Thin Mini ITX</li> ,," 1 x External 5.25"" Slim</li> 1 x Internal 3.5""</li> ",,120 mm ,,120 mm ," 184 mm x 258 mm x 515 mm</li> 7.244"" x 10.157"" x 20.276""</li> ", 24.448 L</li> 0.863 ft³</li> ,
Cooler Master Storm Scout 2 Advanced,Cooler Master ,SGC-2100-GWN1 ,ATX Mid Tower ,Gray / Black ,None ,Acrylic ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 399 mm</li> 15.709""</li> "," 3 x External 5.25""</li> 7 x Internal 3.5""</li> ",7 x Full-Height ,120 mm ,,120 mm ," 231 mm x 513 mm x 520 mm</li> 9.094"" x 20.197"" x 20.472""</li> ", 61.622 L</li> 2.176 ft³</li> ,
Lian Li PC-7H,Lian Li ,PC-7HX ,ATX Mid Tower ,Black ,None ,None ,No ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ," 400 mm</li> 15.748""</li> "," 3 x External 5.25""</li> 4 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",8 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> ," 517 mm x 219 mm x 490 mm</li> 20.354"" x 8.622"" x 19.291""</li> ", 55.479 L</li> 1.959 ft³</li> ,
Lian Li PC-7H,Lian Li ,PC-7HB ,ATX Mid Tower ,Black ,None ,None ,No ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ," 400 mm</li> 15.748""</li> "," 3 x External 5.25""</li> 4 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",8 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> ," 517 mm x 219 mm x 490 mm</li> 20.354"" x 8.622"" x 19.291""</li> ", 55.479 L</li> 1.959 ft³</li> ,
Lian Li PC-7H,Lian Li ,PC-7HWX ,ATX Mid Tower ,Black ,None ,Acrylic ,No ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ," 400 mm</li> 15.748""</li> "," 3 x External 5.25""</li> 4 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",8 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> ," 517 mm x 219 mm x 490 mm</li> 20.354"" x 8.622"" x 19.291""</li> ", 55.479 L</li> 1.959 ft³</li> ,
Gigabyte GZ-ZLM10BS,Gigabyte ,GZ-ZLM10BS ,ATX Mid Tower ,Black ,None ,None ,No ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ,," 3 x External 5.25""</li> 8 x Internal 3.5""</li> ",7 x Full-Height ,120 mm ,,," 192 mm x 430 mm x 439 mm</li> 7.559"" x 16.929"" x 17.283""</li> ", 36.244 L</li> 1.28 ft³</li> ,
Gigabyte GZ-ZLM10RS,Gigabyte ,GZ-ZLM10RS ,ATX Mid Tower ,Black / Red ,None ,None ,No ,None , ATX</li> Micro ATX</li> Mini ITX</li> ,," 3 x External 5.25""</li> 8 x Internal 3.5""</li> ",7 x Full-Height ,120 mm ,,," 192 mm x 430 mm x 439 mm</li> 7.559"" x 16.929"" x 17.283""</li> ", 36.244 L</li> 1.28 ft³</li> ,
Silverstone PS08B,Silverstone , PS08W | SST-PS08W | ,MicroATX Mid Tower ,White ,None ,None ,No ,USB 3.2 Gen 1 Type-A , Micro ATX</li> Mini ITX</li> Thin Mini ITX</li> ," 358 mm</li> 14.094""</li> "," 2 x External 5.25""</li> 4 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",4 x Full-Height , 80 mm</li> 120 mm</li> ,,120 mm ," 355 mm x 167 mm x 400 mm</li> 13.976"" x 6.575"" x 15.748""</li> ", 23.714 L</li> 0.837 ft³</li> ,
BitFenix Merc Alpha,BitFenix , Merc Alpha | BFC-MRC-100-KKX1-RP | ,ATX Mid Tower ,Black ,None ,None ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> Thin Mini ITX</li> ," 320 mm</li> 12.598""</li> "," 3 x External 5.25""</li> 1 x External 3.5""</li> 6 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",7 x Full-Height ,120 mm ,,120 mm ," 489 mm x 189 mm x 438 mm</li> 19.252"" x 7.441"" x 17.244""</li> ", 40.48 L</li> 1.43 ft³</li> ,
BitFenix Merc Alpha,BitFenix ,BFC-MRC-100-KKX1-U3 ,ATX Mid Tower ,Black ,None ,None ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> Thin Mini ITX</li> ," 320 mm</li> 12.598""</li> "," 3 x External 5.25""</li> 1 x External 3.5""</li> 6 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",7 x Full-Height ,120 mm ,,120 mm ," 489 mm x 189 mm x 438 mm</li> 19.252"" x 7.441"" x 17.244""</li> ", 40.48 L</li> 1.43 ft³</li> ,
BitFenix Raider Window,BitFenix ,BFC-RDR-300-MMW2-RP ,ATX Mid Tower ,Black ,None ,Acrylic ,No ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> Thin Mini ITX</li> ," 370 mm</li> 14.567""</li> "," 4 x External 5.25""</li> 6 x Internal 3.5""</li> 7 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 200 mm</li> ,,120 mm ,,,
Rosewill Line,Rosewill ,LINE ,ATX Mid Tower ,Black ,None ,None ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ,," 2 x External 5.25""</li> 1 x External 3.5""</li> 8 x Internal 3.5""</li> ",7 x Full-Height ,120 mm ,,120 mm ," 180 mm x 420 mm x 470 mm</li> 7.087"" x 16.535"" x 18.504""</li> ", 35.532 L</li> 1.255 ft³</li> ,
Chieftec BL-01B-OP,Chieftec ,BL-01B-OP ,ATX Mid Tower ,Black ,None ,None ,No ,USB 2.0 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ,," 1 x External 5.25""</li> 3 x Internal 3.5""</li> ",7 x Full-Height ,,,,,,
Parvum Systems S1.0,Parvum Systems ,S1.0 Black ,MicroATX Mid Tower ,Black ,None ,Acrylic ,No ,None , Micro ATX</li> Mini ITX</li> ,," 2 x Internal 3.5""</li> 4 x Internal 2.5""</li> ",4 x Full-Height , 80 mm</li> 120 mm</li> ,, 120 mm</li> 240 mm</li> ,,,
Parvum Systems S1.0,Parvum Systems ,S1.0 White ,MicroATX Mid Tower ,White ,None ,Acrylic ,No ,None , Micro ATX</li> Mini ITX</li> ,," 2 x Internal 3.5""</li> 4 x Internal 2.5""</li> ",4 x Full-Height , 80 mm</li> 120 mm</li> ,, 120 mm</li> 240 mm</li> ,,,
Fractal Design Arc Midi R2,Fractal Design ,FD-CA-ARC-R2-BL ,ATX Mid Tower ,Black ,None ,None ,No ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> Thin Mini ITX</li> ," 430 mm</li> 16.929""</li> "," 2 x External 5.25""</li> 8 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> ," 230 mm x 459 mm x 527 mm</li> 9.055"" x 18.071"" x 20.748""</li> ", 55.635 L</li> 1.965 ft³</li> ,
Cooler Master Force 500,Cooler Master ,CACM-FORCE500-500W ,ATX Mid Tower ,Black ,500 W ,None ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 320 mm</li> 12.598""</li> "," 2 x External 5.25""</li> 1 x External 3.5""</li> 7 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> ," 492 mm x 190 mm x 426 mm</li> 19.37"" x 7.48"" x 16.772""</li> ", 39.822 L</li> 1.406 ft³</li> ,
Xion XON-560,Xion ,XON-560_WT ,MicroATX Mini Tower ,White ,None ,None ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 330 mm</li> 12.992""</li> "," 2 x External 5.25""</li> 3 x Internal 3.5""</li> ",4 x Full-Height , 120 mm</li> 200 mm</li> 220 mm</li> ,,120 mm ," 414 mm x 185 mm x 370 mm</li> 16.299"" x 7.283"" x 14.567""</li> ", 28.338 L</li> 1.001 ft³</li> ,
Xion XON-560,Xion ,XON-560_BK ,MicroATX Mini Tower ,Black ,None ,None ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 330 mm</li> 12.992""</li> "," 2 x External 5.25""</li> 3 x Internal 3.5""</li> ",4 x Full-Height , 120 mm</li> 200 mm</li> 220 mm</li> ,,120 mm ," 414 mm x 185 mm x 370 mm</li> 16.299"" x 7.283"" x 14.567""</li> ", 28.338 L</li> 1.001 ft³</li> ,
Silverstone TJ10B-USB3.0,Silverstone ,SST-TJ10B-USB3.0 ,ATX Full Tower ,Black ,None ,None ,No ,USB 3.2 Gen 1 Type-A , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> SSI EEB</li> ," 304 mm</li> 11.969""</li> "," 4 x External 5.25""</li> 1 x External 3.5""</li> 6 x Internal 3.5""</li> ",7 x Full-Height ,120 mm ,,120 mm ," 520 mm x 207 mm x 643 mm</li> 20.472"" x 8.15"" x 25.315""</li> ", 69.213 L</li> 2.444 ft³</li> ,
Silverstone TJ10B-W,Silverstone ,SST-TJ10B-W ,ATX Full Tower ,Black ,None ,Acrylic ,No ,USB 2.0 Type-A , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> SSI EEB</li> ," 304 mm</li> 11.969""</li> "," 4 x External 5.25""</li> 1 x External 3.5""</li> 6 x Internal 3.5""</li> ",7 x Full-Height ,120 mm ,,120 mm ," 520 mm x 207 mm x 643 mm</li> 20.472"" x 8.15"" x 25.315""</li> ", 69.213 L</li> 2.444 ft³</li> ,
Silverstone TJ10B-W-USB3.0,Silverstone ,SST-TJ10B-W-USB3.0 ,ATX Full Tower ,Black ,None ,Acrylic ,No ,USB 3.2 Gen 1 Type-A , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> SSI EEB</li> ," 304 mm</li> 11.969""</li> "," 4 x External 5.25""</li> 1 x External 3.5""</li> 6 x Internal 3.5""</li> ",7 x Full-Height ,120 mm ,,120 mm ," 520 mm x 207 mm x 643 mm</li> 20.472"" x 8.15"" x 25.315""</li> ", 69.213 L</li> 2.444 ft³</li> ,
Silverstone TJ10B-WNV,Silverstone ,SST-TJ10B-WNV ,ATX Full Tower ,Black ,None ,Acrylic ,No ,USB 2.0 Type-A , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> SSI EEB</li> ," 304 mm</li> 11.969""</li> "," 4 x External 5.25""</li> 1 x External 3.5""</li> 6 x Internal 3.5""</li> ",7 x Full-Height ,120 mm ,,120 mm ," 520 mm x 207 mm x 643 mm</li> 20.472"" x 8.15"" x 25.315""</li> ", 69.213 L</li> 2.444 ft³</li> ,
Silverstone TJ10S,Silverstone , SST-TJ10S | TJ10S | ,ATX Full Tower ,Silver ,None ,None ,No ,USB 2.0 Type-A , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> SSI EEB</li> ," 304 mm</li> 11.969""</li> "," 4 x External 5.25""</li> 1 x External 3.5""</li> 6 x Internal 3.5""</li> ",7 x Full-Height ,120 mm ,,120 mm ," 520 mm x 207 mm x 643 mm</li> 20.472"" x 8.15"" x 25.315""</li> ", 69.213 L</li> 2.444 ft³</li> ,
Silverstone TJ10S-W,Silverstone ,SST-TJ10S-W ,ATX Full Tower ,Silver ,None ,Acrylic ,No ,USB 2.0 Type-A , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> SSI EEB</li> ," 304 mm</li> 11.969""</li> "," 4 x External 5.25""</li> 1 x External 3.5""</li> 6 x Internal 3.5""</li> ",7 x Full-Height ,120 mm ,,120 mm ," 520 mm x 207 mm x 643 mm</li> 20.472"" x 8.15"" x 25.315""</li> ", 69.213 L</li> 2.444 ft³</li> ,
Silverstone TJ10B-WNV-USB3.0,Silverstone ,SST-TJ10B-WNV-USB3.0 ,ATX Full Tower ,Black ,None ,Acrylic ,No ,USB 3.2 Gen 1 Type-A , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> SSI EEB</li> ," 304 mm</li> 11.969""</li> "," 4 x External 5.25""</li> 1 x External 3.5""</li> 6 x Internal 3.5""</li> ",7 x Full-Height ,120 mm ,,120 mm ," 520 mm x 207 mm x 643 mm</li> 20.472"" x 8.15"" x 25.315""</li> ", 69.213 L</li> 2.444 ft³</li> ,
Silverstone RV02B-W-USB3.0,Silverstone ,RV02B-W-USB3.0 ,ATX Full Tower ,Black ,None ,Acrylic ,No ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> SSI CEB</li> ," 309 mm</li> 12.165""</li> "," 5 x External 5.25""</li> 3 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",8 x Full-Height , 120 mm</li> 180 mm</li> ,, 120 mm</li> 240 mm</li> 360 mm</li> ," 642 mm x 212 mm x 502 mm</li> 25.276"" x 8.346"" x 19.764""</li> ", 68.324 L</li> 2.413 ft³</li> ,
Silverstone RL04B,Silverstone , RL04B | SST-RL04B | ,ATX Mid Tower ,Black ,None ,None ,No ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ," 292 mm</li> 11.496""</li> "," 4 x External 5.25""</li> 5 x Internal 3.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> ," 522 mm x 219 mm x 480 mm</li> 20.551"" x 8.622"" x 18.898""</li> ", 54.873 L</li> 1.938 ft³</li> ,
Silverstone RL03B-W-USB 3.0,Silverstone ,RL03B-W-USB 3.0 ,ATX Mid Tower ,Black ,None ,Acrylic ,No ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ," 279 mm</li> 10.984""</li> "," 3 x External 5.25""</li> 7 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> ," 487 mm x 189 mm x 439 mm</li> 19.173"" x 7.441"" x 17.283""</li> ", 40.407 L</li> 1.427 ft³</li> ,
Silverstone PS05B-USB3.0,Silverstone , PS05B-USB3.0 | SST-PS05B-USB3.0 | ,ATX Mid Tower ,Black ,None ,None ,No ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ," 279 mm</li> 10.984""</li> "," 4 x External 5.25""</li> 2 x External 3.5""</li> 4 x Internal 3.5""</li> ",7 x Full-Height ,120 mm ,,120 mm ," 484 mm x 189 mm x 466 mm</li> 19.055"" x 7.441"" x 18.346""</li> ", 42.628 L</li> 1.505 ft³</li> ,
CFI Prime 311,CFI ,Prime 311 ,ATX Mid Tower ,Black ,None ,None ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ,," 4 x External 5.25""</li> 4 x Internal 3.5""</li> ",7 x Full-Height ,120 mm ,,," 199 mm x 433 mm x 496 mm</li> 7.835"" x 17.047"" x 19.528""</li> ", 42.739 L</li> 1.509 ft³</li> ,
CFI Prime 223,CFI ,Prime 223 ,ATX Mid Tower ,Black ,None ,None ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ,," 4 x External 5.25""</li> 4 x Internal 3.5""</li> ",7 x Full-Height ,120 mm ,,," 430 mm x 184 mm x 409 mm</li> 16.929"" x 7.244"" x 16.102""</li> ", 32.36 L</li> 1.143 ft³</li> ,
CFI Prime 101,CFI ,Prime 101 ,ATX Mid Tower ,Black ,None ,None ,No ,USB 2.0 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ,," 1 x External 5.25""</li> 2 x Internal 3.5""</li> ",7 x Full-Height ,80 mm ,,," 404 mm x 175 mm x 389 mm</li> 15.906"" x 6.89"" x 15.315""</li> ", 27.502 L</li> 0.971 ft³</li> ,
CFI Diablo LT,CFI ,Diablo LT ,ATX Mid Tower ,Black ,None ,Acrylic ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ,," 4 x External 5.25""</li> 4 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height ,120 mm ,,," 199 mm x 489 mm x 493 mm</li> 7.835"" x 19.252"" x 19.409""</li> ", 47.974 L</li> 1.694 ft³</li> ,
CFI CFI-A7007,CFI ,CFI-A7007 ,ATX Full Tower ,Black ,None ,Acrylic ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ,," 4 x External 5.25""</li> 6 x Internal 3.5""</li> 3 x Internal 2.5""</li> ",8 x Full-Height , 120 mm</li> 140 mm</li> ,,," 549 mm x 219 mm x 575 mm</li> 21.614"" x 8.622"" x 22.638""</li> ", 69.133 L</li> 2.441 ft³</li> ,
CFI Bastet,CFI ,Bastet ,ATX Mid Tower ,Black ,None ,Acrylic ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ,," 4 x External 5.25""</li> 2 x Internal 3.5""</li> 4 x Internal 2.5""</li> ",7 x Full-Height ,120 mm ,,," 199 mm x 489 mm x 493 mm</li> 7.835"" x 19.252"" x 19.409""</li> ", 47.974 L</li> 1.694 ft³</li> ,
Lian Li PC-9N,Lian Li ,PC-9NA ,ATX Mid Tower ,Silver ,None ,None ,No ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ," 430 mm</li> 16.929""</li> "," 3 x External 5.25""</li> 3 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",8 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> ," 208 mm x 459 mm x 487 mm</li> 8.189"" x 18.071"" x 19.173""</li> ", 46.495 L</li> 1.642 ft³</li> ,
Lian Li PC-9N,Lian Li ,PC-9NB ,ATX Mid Tower ,Black ,None ,None ,No ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ," 430 mm</li> 16.929""</li> "," 3 x External 5.25""</li> 3 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",8 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> ," 208 mm x 459 mm x 487 mm</li> 8.189"" x 18.071"" x 19.173""</li> ", 46.495 L</li> 1.642 ft³</li> ,
Lian Li PC-Q07B USB3.0,Lian Li ,PC-Q07B USB3.0 ,Mini ITX Tower ,Black ,None ,None ,No ,USB 3.2 Gen 1 Type-A ,Mini ITX ," 180 mm</li> 7.087""</li> "," 1 x External 5.25""</li> 1 x Internal 3.5""</li> ",1 x Full-Height ,,,," 193 mm x 290 mm x 208 mm</li> 7.598"" x 11.417"" x 8.189""</li> ", 11.642 L</li> 0.411 ft³</li> ,
Ultra XBlaster V2,Ultra ,U12-41570 ,ATX Mid Tower ,Black ,None ,None ,No ,USB 2.0 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ,," 3 x External 5.25""</li> 1 x External 3.5""</li> 6 x Internal 3.5""</li> ",7 x Full-Height ,120 mm ,,," 482 mm x 184 mm x 406 mm</li> 18.976"" x 7.244"" x 15.984""</li> ", 36.007 L</li> 1.272 ft³</li> ,
Ultra XBlaster V2,Ultra ,U12-41933 ,ATX Mid Tower ,Black ,450 W ,None ,No ,USB 2.0 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ,," 3 x External 5.25""</li> 1 x External 3.5""</li> 6 x Internal 3.5""</li> ",7 x Full-Height ,120 mm ,,," 482 mm x 184 mm x 406 mm</li> 18.976"" x 7.244"" x 15.984""</li> ", 36.007 L</li> 1.272 ft³</li> ,
Ultra Gladiator,Ultra ,U12-42125 ,ATX Mid Tower ,Black ,None ,None ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ,," 3 x External 5.25""</li> 1 x External 3.5""</li> 5 x Internal 3.5""</li> ",7 x Full-Height ,120 mm ,,," 419 mm x 189 mm x 499 mm</li> 16.496"" x 7.441"" x 19.646""</li> ", 39.516 L</li> 1.396 ft³</li> ,
Ultra Rogue M950,Ultra ,U12-42151 ,ATX Full Tower ,Black ,None ,None ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ,," 3 x External 5.25""</li> 8 x Internal 3.5""</li> ",8 x Full-Height , 120 mm</li> 200 mm</li> ,,," 510 mm x 231 mm x 525 mm</li> 20.079"" x 9.094"" x 20.669""</li> ", 61.85 L</li> 2.184 ft³</li> ,
Ultra Rogue M925,Ultra ,U12-42152 ,ATX Full Tower ,Black ,None ,None ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ,," 3 x External 5.25""</li> 8 x Internal 3.5""</li> ",8 x Full-Height ,120 mm ,,," 510 mm x 231 mm x 525 mm</li> 20.079"" x 9.094"" x 20.669""</li> ", 61.85 L</li> 2.184 ft³</li> ,
Thermaltake Chaser A31 Thunder Edition,Thermaltake ,VP200A1W2N ,ATX Mid Tower ,Black ,None ,Acrylic ,No ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ," 315 mm</li> 12.402""</li> "," 4 x External 5.25""</li> 1 x External 3.5""</li> 5 x Internal 3.5""</li> ",7 x Full-Height , 120 mm</li> 200 mm</li> ,, 120 mm</li> 240 mm</li> ," 495 mm x 251 mm x 510 mm</li> 19.488"" x 9.882"" x 20.079""</li> ", 63.365 L</li> 2.238 ft³</li> ,
Thermaltake Versa I,Thermaltake ,VO600A1N3N ,ATX Mid Tower ,Black ,None ,None ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 320 mm</li> 12.598""</li> "," 3 x External 5.25""</li> 1 x External 3.5""</li> 5 x Internal 3.5""</li> ",7 x Full-Height ,120 mm ,,120 mm ," 505 mm x 195 mm x 429 mm</li> 19.882"" x 7.677"" x 16.89""</li> ", 42.246 L</li> 1.492 ft³</li> ,
Enermax Hoplite ST,Enermax ,ECA3261-B ,ATX Mid Tower ,Black ,None ,Acrylic ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 403 mm</li> 15.866""</li> "," 4 x External 5.25""</li> 6 x Internal 3.5""</li> ",7 x Full-Height , 80 mm</li> 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> ," 486 mm x 199 mm x 496 mm</li> 19.134"" x 7.835"" x 19.528""</li> ", 47.97 L</li> 1.694 ft³</li> ,
Enermax Hoplite ST,Enermax ,ECA3261-W ,ATX Mid Tower ,White ,None ,Acrylic ,No , USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 403 mm</li> 15.866""</li> "," 4 x External 5.25""</li> 6 x Internal 3.5""</li> ",7 x Full-Height , 80 mm</li> 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> ," 486 mm x 199 mm x 496 mm</li> 19.134"" x 7.835"" x 19.528""</li> ", 47.97 L</li> 1.694 ft³</li> ,
Rosewill R5601,Rosewill ,R5601-BK ,ATX Mid Tower ,Black ,None ,None ,No ,USB 2.0 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ,," 4 x External 5.25""</li> 1 x External 3.5""</li> 5 x Internal 3.5""</li> ",7 x Full-Height ,120 mm ,,120 mm ," 492 mm x 200 mm x 439 mm</li> 19.37"" x 7.874"" x 17.283""</li> ", 43.198 L</li> 1.526 ft³</li> ,
