Name,Manufacturer,Part #,Speed,Form Factor,Modules,Price / GB,Color,First Word Latency,CAS Latency,Voltage,Timing,ECC / Registered,Heat Spreader
G.Skill Trident Z5 RGB 96 GB,G.Skill ,F5-6400J3239F48GX2-TZ5RW ,DDR5-6400 ,288-pin DIMM (DDR5) ,2 x 48GB ,$11.979 ,White / Black ,10 ns ,32 ,1.35 V ,32-39-39-102 ,Non-ECC / Unbuffered ,Yes 
GOODRAM IRDM PRO 32 GB,GOODRAM ,IRP-K3600D4V64L18/32GDC ,DDR4-3600 ,288-pin DIMM (DDR4) ,2 x 16GB ,,Black ,10 ns ,18 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
G.Skill Trident Z RGB 16 GB,G.Skill ,F4-3000C16D-16GTZR ,DDR4-3000 ,288-pin DIMM (DDR4) ,2 x 8GB ,$9.374 ,Black ,10.667 ns ,16 ,1.35 V ,16-18-18-38 ,Non-ECC / Unbuffered ,Yes 
Corsair Dominator Platinum RGB 32 GB,Corsair ,CMT32GX4M2Z3600C14 ,DDR4-3600 ,288-pin DIMM (DDR4) ,2 x 16GB ,,Black ,7.778 ns ,14 ,1.45 V ,14-16-16-36 ,Non-ECC / Unbuffered ,Yes 
ADATA XPG Z1 16 GB,ADATA ,AX4U300038G16-DSZ1 ,DDR4-3000 ,288-pin DIMM (DDR4) ,2 x 8GB ,,Silver / Black ,10.667 ns ,16 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
G.Skill Trident Z5 RGB 64 GB,G.Skill ,F5-6000J3040G32GX2-TZ5RS ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 32GB ,$14.844 ,White / Black ,10 ns ,30 ,1.4 V ,30-40-40-96 ,Non-ECC / Unbuffered ,Yes 
G.Skill Trident Z5 Royal 32 GB,G.Skill ,F5-6400J3239G16GX2-TR5S ,DDR5-6400 ,288-pin DIMM (DDR5) ,2 x 16GB ,$16.875 ,Silver ,10 ns ,32 ,1.4 V ,32-39-39-102 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance RGB Pro 32 GB,Corsair ,CMW32GX4M2C3200C16 ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 16GB ,,Black ,10 ns ,16 ,1.35 V ,16-18-18-36 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance LPX 8 GB,Corsair ,CMK8GX4M2A2400C16 ,DDR4-2400 ,288-pin DIMM (DDR4) ,2 x 4GB ,,Black / Yellow ,13.333 ns ,16 ,1.2 V ,16-16-16-39 ,Non-ECC / Unbuffered ,Yes 
G.Skill Trident Z5 CK 48 GB,G.Skill ,F5-9600C4658H24GX2-TZ5CK ,DDR5-9600 ,288-pin DIMM (DDR5) ,2 x 24GB ,,Black ,9.583 ns ,46 ,1.45 V ,,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance RGB 32 GB,Corsair ,CMH32GX5M2E6000Z36W ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$13.812 ,White / Silver ,12 ns ,36 ,1.4 V ,36-44-44-96 ,Non-ECC / Unbuffered ,Yes 
Silicon Power XPOWER Storm RGB 32 GB,Silicon Power ,SP032GXLWU60FFDK ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$13.468 ,Black ,12 ns ,36 ,1.35 V ,36-46-46-86 ,Non-ECC / Unbuffered ,Yes 
PNY Performance 16 GB,PNY ,MD16GSD54800-TB ,DDR5-4800 ,288-pin DIMM (DDR5) ,1 x 16GB ,$14.621 ,Black ,16.667 ns ,40 ,1.1 V ,,Non-ECC / Unbuffered ,No 
G.Skill Ripjaws S5 32 GB,G.Skill ,F5-6000J3040F16GX2-RS5W ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$15.000 ,White ,10 ns ,30 ,1.35 V ,30-40-40-96 ,Non-ECC / Unbuffered ,Yes 
G.Skill Ripjaws S5 96 GB,G.Skill ,F5-6400J3239F48GX2-RS5K ,DDR5-6400 ,288-pin DIMM (DDR5) ,2 x 48GB ,$10.937 ,Black ,10 ns ,32 ,1.35 V ,32-39-39-102 ,Non-ECC / Unbuffered ,Yes 
