Name,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless
TRYX PANORAMA,TRYX ,, L-P240N-DS2M-G0K | PANORAMA 240 Black | ,500 - 2250 RPM ,30.97 dB ,Black ,116 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 240 mm ,No 
PC Cooler DE360,PC Cooler ,DE360 , D5-Q360WWHNXX-GL | DE360WH | ,600 - 1850 RPM ,16 - 33.8 dB ,White ,55 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
GameMax Ice Force,GameMax ,,GMX-ICE-FORCE-BK ,800 - 1600 RPM ,,Black ,153 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | ,No ,No 
Ocypus Gamma A40,Ocypus ,,Gamma-A40-BK1NNWN00X-GL ,600 - 2400 RPM ,29.5 dB ,Black ,133 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
Silverstone PF360-ARGB V2,Silverstone ,PF360-ARGB V2 ,SST-PF360-ARGB-V2 ,600 - 2200 RPM ,7.4 - 35.6 dB ,Black ,50 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
upHere E240KC,upHere ,,E240KC ,600 - 1800 RPM ,27 dB ,Black ,62 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 240 mm ,No 
GAMDIAS CHIONE E4,GAMDIAS ,, E4-240 | CHIONE E4-240 | ,800 - 1800 RPM ,11 - 33.8 dB ,Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
Akasa K25,Akasa ,K25 ,AK-CC7118HP01 ,600 - 3000 RPM ,28.71 dB ,,30 mm , LGA775 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | ,No ,No 
Enermax LIQMAXFLO 240,Enermax ,LIQMAXFLO 240 ,ELC-LMF240T-ARGB ,500 - 1800 RPM ,23.46 dB ,Black ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
RAIJINTEK Orcus 140 RGW,RAIJINTEK ,Orcus 140 RGW ,0R10B00090 ,400 - 1800 RPM ,28 dB ,Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | FM1 | FM2 | FM2+ | LGA775 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 140 mm ,No 
