Name,URL,Image,Core Count,Performance Core Clock,Performance Core Boost Clock,Microarchitecture,TDP,Integrated Graphics,Price
Intel Core i7-14700F,https://pcpartpicker.com/product/9jCZxr/intel-core-i7-14700f-21-ghz-20-core-processor-bx8071514700f,https://cdna.pcpartpicker.com/static/forever/images/product/367d869b80f32e8faa3075378677e28e.256p.jpg,20,2.1 GHz,5.4 GHz,Raptor Lake Refresh,65 W,None,329.97
AMD Ryzen 9 7950X3D,https://pcpartpicker.com/product/X6XV3C/amd-ryzen-9-7950x3d-42-ghz-16-core-processor-100-100000908wof,https://cdna.pcpartpicker.com/static/forever/images/product/4f8b13807b9b9e2ab921ddb6e6e81afb.256p.jpg,16,4.2 GHz,5.7 GHz,Zen 4,120 W,Radeon,639.99
AMD Ryzen 5 4500,https://pcpartpicker.com/product/m8BG3C/amd-ryzen-5-4500-36-ghz-6-core-processor-100-100000644box,https://cdna.pcpartpicker.com/static/forever/images/product/e1f3bf613a5651db6f394c8dd41f0f15.256p.jpg,6,3.6 GHz,4.1 GHz,Zen 2,65 W,None,89.99
Intel Core i5-10400F,https://pcpartpicker.com/product/vrhmP6/intel-core-i5-10400f-29-ghz-6-core-processor-bx8070110400f,https://cdna.pcpartpicker.com/static/forever/images/product/e5d8c71ba7c15404b87a7fcdf7251281.256p.jpg,6,2.9 GHz,4.3 GHz,Comet Lake,65 W,None,147.88
AMD Ryzen 3 4100,https://pcpartpicker.com/product/drBG3C/amd-ryzen-3-4100-38-ghz-quad-core-processor-100-100000510box,https://cdna.pcpartpicker.com/static/forever/images/product/43c4d752d1441ed420dd80502e718918.256p.jpg,4,3.8 GHz,4 GHz,Zen 2,65 W,None,82.43
Intel Core Ultra 5 245KF,https://pcpartpicker.com/product/k7cgXL/intel-core-ultra-5-245kf-42-ghz-14-core-processor-bx80768245kf,https://cdna.pcpartpicker.com/static/forever/images/product/86f90b80222ce0831fa4c548b8af3df2.256p.jpg,14,4.2 GHz,5.2 GHz,Arrow Lake,125 W,None,175.99
AMD Ryzen 7 8700G,https://pcpartpicker.com/product/K4vD4D/amd-ryzen-7-8700g-42-ghz-8-core-processor-100-100001236box,https://cdna.pcpartpicker.com/static/forever/images/product/e5ca60dc2137886fac6e13e30aad8ed9.256p.jpg,8,4.2 GHz,5.1 GHz,Zen 4,65 W,Radeon 780M,267.00
Intel Core i9-14900KF,https://pcpartpicker.com/product/YJRwrH/intel-core-i9-14900kf-32-ghz-24-core-processor-bx8071514900kf,https://cdna.pcpartpicker.com/static/forever/images/product/c9117c605854e9387e57cd69ebca2415.256p.jpg,24,3.2 GHz,6 GHz,Raptor Lake Refresh,125 W,None,439.97
AMD Ryzen 5 2600,https://pcpartpicker.com/product/jLF48d/amd-ryzen-5-2600-34ghz-6-core-processor-yd2600bbafbox,https://cdna.pcpartpicker.com/static/forever/images/product/55aea2dd64e2e3a3e3b1d678048d8d76.256p.jpg,6,3.4 GHz,3.9 GHz,Zen+,65 W,None,
Intel Core i7-9700K,https://pcpartpicker.com/product/WtyV3C/intel-core-i7-9700k-36ghz-8-core-processor-bx80684i79700k,https://cdna.pcpartpicker.com/static/forever/images/product/3760e89d1820da393f084e2c18a62e3b.256p.jpg,8,3.6 GHz,4.9 GHz,Coffee Lake Refresh,95 W,Intel UHD Graphics 630,288.02
Intel Core i5-13400F,https://pcpartpicker.com/product/VNkWGX/intel-core-i5-13400f-25-ghz-10-core-processor-bx8071513400f,https://cdna.pcpartpicker.com/static/forever/images/product/17d82d241bff0efdd1c32fbcf9822c14.256p.jpg,10,2.5 GHz,4.6 GHz,Raptor Lake,65 W,None,249.84
Intel Core i9-14900KS,https://pcpartpicker.com/product/3ZmNnQ/intel-core-i9-14900ks-32-ghz-24-core-processor-bx8071514900ks,https://cdna.pcpartpicker.com/static/forever/images/product/7f03744e2c593edbbf711b21d85c59b3.256p.jpg,24,3.2 GHz,6.2 GHz,Raptor Lake Refresh,150 W,Intel UHD Graphics 770,689.99
Intel Core i3-14100F,https://pcpartpicker.com/product/R7qrxr/intel-core-i3-14100f-35-ghz-quad-core-processor-bx8071514100f,https://cdna.pcpartpicker.com/static/forever/images/product/874cc0e600bde06d75755309677a87e2.256p.jpg,4,3.5 GHz,4.7 GHz,Raptor Lake Refresh,58 W,None,104.99
AMD Ryzen 5 7500F,https://pcpartpicker.com/product/zGn9TW/amd-ryzen-5-7500f-37-ghz-6-core-processor-100-100000597box,https://cdna.pcpartpicker.com/static/forever/images/product/16ab7cbdba34490d23b883f1253ab148.256p.jpg,6,3.7 GHz,5 GHz,Zen 4,65 W,None,
