Name,URL,Image,Socket / CPU,Form Factor,Memory Max,Memory Slots,Color,Price
MSI Z97S SLI Krait Edition,https://pcpartpicker.com/product/CwPzK8/msi-motherboard-z97sslikraitedition,https://cdna.pcpartpicker.com/static/forever/images/product/f9af094dd1982ea4e60729dc67a2f003.256p.jpg,LGA1150,ATX,32 GB,4,Black / White,
Asus ROG STRIX B365-F GAMING,https://pcpartpicker.com/product/BP3mP6/asus-rog-strix-b365-f-gaming-atx-lga1151-motherboard-rog-strix-b365-f-gaming,https://cdna.pcpartpicker.com/static/forever/images/product/83014761262233ef6d3872609dc5ba74.256p.jpg,LGA1151,ATX,64 GB,4,,
MSI PRO H810M-B,https://pcpartpicker.com/product/m29nTW/msi-pro-h810m-b-micro-atx-lga1851-motherboard-pro-h810m-b,https://cdna.pcpartpicker.com/static/forever/images/product/f61d2b3981bc813b66bc2a75e192bc6a.256p.jpg,LGA1851,Micro ATX,128 GB,2,Silver / Black,155.54
MSI PRO Z790-VC WIFI,https://pcpartpicker.com/product/mJP8TW/msi-pro-z790-vc-wifi-atx-lga1700-motherboard-pro-z790-vc-wifi,https://cdna.pcpartpicker.com/static/forever/images/product/15bd58bcb4c724fd4a1acbf6743fc54e.256p.jpg,LGA1700,ATX,256 GB,4,Black,
Gigabyte Z690 UD AX DDR4,https://pcpartpicker.com/product/WQBG3C/gigabyte-z690-ud-ax-ddr4-atx-lga1700-motherboard-z690-ud-ax-ddr4,https://cdna.pcpartpicker.com/static/forever/images/product/53145af8beee7ff976abda9265cc17b9.256p.jpg,LGA1700,ATX,128 GB,4,Black,
MSI MAG B460M MORTAR WIFI,https://pcpartpicker.com/product/hR3mP6/msi-mag-b460m-mortar-wifi-micro-atx-lga1200-motherboard-mag-b460m-mortar-wifi,https://m.media-amazon.com/images/I/61KAc2uql2L.jpg,LGA1200,Micro ATX,128 GB,4,Silver / Black,
MSI MPG B650 CARBON WIFI,https://pcpartpicker.com/product/MT8bt6/msi-mpg-b650-carbon-wifi-atx-am5-motherboard-mpg-b650-carbon-wifi,https://cdna.pcpartpicker.com/static/forever/images/product/cd6e35609bf675d82e592e737d980fca.256p.jpg,AM5,ATX,192 GB,4,Black,
Asus TUF X470-PLUS GAMING,https://pcpartpicker.com/product/kWzkcf/asus-tuf-x470-plus-gaming-atx-am4-motherboard-tuf-x470-plus-gaming,https://cdna.pcpartpicker.com/static/forever/images/product/8f9c4e5a54a474f18e509d3e1e2a286a.256p.jpg,AM4,ATX,64 GB,4,Black,
Asus PRIME B460-PLUS,https://pcpartpicker.com/product/8DH8TW/asus-prime-b460-plus-atx-lga1200-motherboard-prime-b460-plus,https://cdna.pcpartpicker.com/static/forever/images/product/623e822ef71496a2c8ec4c741bdf4975.256p.jpg,LGA1200,ATX,128 GB,4,Silver / Black,
Gigabyte Z790 AORUS ELITE X AX,https://pcpartpicker.com/product/GG26Mp/gigabyte-z790-aorus-elite-x-ax-atx-lga1700-motherboard-z790-aorus-elite-x-ax,https://cdna.pcpartpicker.com/static/forever/images/product/ec8cd0f0899de0094f352ff065f2cedd.256p.jpg,LGA1700,ATX,256 GB,4,Black,
Asus M5A97 R2.0,https://pcpartpicker.com/product/bJK7YJ/asus-motherboard-m5a97r20,/static/forever/img/no-image.png,AM3+,ATX,32 GB,4,Black / Blue,
ASRock AB350 Gaming-ITX/ac,https://pcpartpicker.com/product/nG98TW/asrock-ab350-gaming-itxac-mini-itx-am4-motherboard-ab350-gaming-itxac,https://cdna.pcpartpicker.com/static/forever/images/product/47ea4f6abedbfc0b20057a4e4407ffd1.256p.jpg,AM4,Mini ITX,32 GB,2,Black / Red,
ASRock X570M Pro4,https://pcpartpicker.com/product/KZLwrH/asrock-x570m-pro4-micro-atx-am4-motherboard-x570m-pro4,https://cdna.pcpartpicker.com/static/forever/images/product/bda46269be432cc2e0ebb43cb52b71fc.256p.jpg,AM4,Micro ATX,128 GB,4,Black / Silver,
