Name,URL,Image,Capacity,Price / GB,Type,Cache,Form Factor,Interface,Price
Patriot P300,https://pcpartpicker.com/product/rWxbt6/patriot-p300-256-gb-m2-2280-nvme-solid-state-drive-p300p256gm28,https://cdna.pcpartpicker.com/static/forever/images/product/54ee0cd09005260c118e6ae0062f7f1c.256p.jpg,256 GB,$0.254,SSD,,M.2-2280,M.2 PCIe 3.0 X4,64.98
Crucial E100,https://pcpartpicker.com/product/zLFCmG/crucial-e100-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ct1000e100ssd8,https://cdna.pcpartpicker.com/static/forever/images/product/72bbad5e69fa95e74103a3613c6dc1e9.256p.jpg,1 TB,$0.169,SSD,,M.2-2280,M.2 PCIe 4.0 X4,168.59
Crucial P5 Plus W/Heatsink,https://pcpartpicker.com/product/hwqrxr/crucial-p5-plus-wheatsink-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ct2000p5pssd5,https://cdna.pcpartpicker.com/static/forever/images/product/a5100fbfd2f0011649a46080865cd7d4.256p.jpg,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Samsung 990 EVO Plus,https://pcpartpicker.com/product/HgRwrH/samsung-990-evo-plus-4-tb-m2-2280-pcie-50-x2-nvme-solid-state-drive-mz-v9s4t0bw,https://cdna.pcpartpicker.com/static/forever/images/product/b07f8856896f341990d6f5ed5c663406.256p.jpg,4 TB,$0.162,SSD,,M.2-2280,M.2 PCIe 5.0 X2,649.99
Samsung 970 Evo Plus,https://pcpartpicker.com/product/TwWfrH/samsung-970-evo-plus-500-gb-m2-2280-nvme-solid-state-drive-mz-v7s500bam,https://cdna.pcpartpicker.com/static/forever/images/product/25a1bf52562913032cce0b7a71b9e323.256p.jpg,500 GB,$0.456,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4,227.90
Crucial P310,https://pcpartpicker.com/product/vB88TW/crucial-p310-500-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ct500p310ssd8,https://cdna.pcpartpicker.com/static/forever/images/product/c54792ba24726ba1fc089b2b6022f242.256p.jpg,500 GB,$0.299,SSD,,M.2-2280,M.2 PCIe 4.0 X4,149.56
Samsung 970 Evo Plus,https://pcpartpicker.com/product/Zxw7YJ/samsung-970-evo-plus-1-tb-m2-2280-nvme-solid-state-drive-mz-v7s1t0bam,https://cdna.pcpartpicker.com/static/forever/images/product/326881d073c1b667bd348893696c690e.256p.jpg,1 TB,,SSD,1024 MB,M.2-2280,M.2 PCIe 3.0 X4,
Samsung 9100 PRO w/Heatsink,https://pcpartpicker.com/product/HdHp99/samsung-9100-pro-wheatsink-8-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-mz-vap8t0cam,https://cdna.pcpartpicker.com/static/forever/images/product/7d2bcbd37be362c0cc30ab8f8cffe824.256p.jpg,8 TB,$0.194,SSD,8192 MB,M.2-2280,M.2 PCIe 5.0 X4,1549.00
Western Digital WD_BLACK SN7100,https://pcpartpicker.com/product/MYP8TW/western-digital-wd_black-sn7100-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds100t4x0e-00cja0,https://cdna.pcpartpicker.com/static/forever/images/product/d8008770390602cb9c369c3fb28c8f09.256p.jpg,1 TB,$0.205,SSD,,M.2-2280,M.2 PCIe 4.0 X4,204.90
Crucial P3 Plus,https://pcpartpicker.com/product/chzhP6/crucial-p3-plus-1-tb-m2-2280-nvme-solid-state-drive-ct1000p3pssd8,https://cdna.pcpartpicker.com/static/forever/images/product/2830bf3ba317c794ccde742efe4304be.256p.jpg,1 TB,$0.312,SSD,,M.2-2280,M.2 PCIe 4.0 X4,311.67
