Name,URL,Image,Speed,Modules,Price / GB,Color,First Word Latency,CAS Latency,Price
Kingston FURY Beast RGB 128 GB,https://pcpartpicker.com/product/68Pv6h/kingston-fury-beast-rgb-128-gb-2-x-64-gb-ddr5-5600-cl40-memory-kf556c40bbak2-128,https://cdna.pcpartpicker.com/static/forever/images/product/772185b3e79db56826b55acbfcae39db.256p.jpg,DDR5-5600,2 x 64GB,,Black,14.286 ns,40,
TEAMGROUP T-Create Expert 64 GB,https://pcpartpicker.com/product/Nxtkcf/teamgroup-t-create-expert-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-ctced564g6000hc30cdc01,/static/forever/img/no-image.png,DDR5-6000,2 x 32GB,,Black / Gold,10 ns,30,
Crucial CT16G48C40S5 16 GB,https://pcpartpicker.com/product/HXzXsY/crucial-ct16g48c40s5-16-gb-1-x-16-gb-ddr5-4800-sodimm-cl40-memory-ct16g48c40s5,https://cdna.pcpartpicker.com/static/forever/images/product/fb534d88ec2eeb760b900021c438fb2f.256p.jpg,DDR5-4800,1 x 16GB,$15.624,Black,16.667 ns,40,249.99
Corsair Vengeance 64 GB,https://pcpartpicker.com/product/JZ6p99/corsair-vengeance-64-gb-2-x-32-gb-ddr5-5200-cl40-memory-cmk64gx5m2b5200z40,https://cdna.pcpartpicker.com/static/forever/images/product/4afa94216755c30ad4473c556426a19d.256p.jpg,DDR5-5200,2 x 32GB,$12.937,Gray,15.385 ns,40,827.99
G.Skill Ripjaws S5 32 GB,https://pcpartpicker.com/product/t7Fbt6/gskill-ripjaws-s5-32-gb-2-x-16-gb-ddr5-5200-cl36-memory-f5-5200j3636c16gx2-rs5k,https://cdna.pcpartpicker.com/static/forever/images/product/cc5eadf3d1e4483af335b88f8a93616f.256p.jpg,DDR5-5200,2 x 16GB,,Black,13.846 ns,36,
Kingston FURY Renegade 32 GB,https://pcpartpicker.com/product/jBBG3C/kingston-fury-renegade-32-gb-1-x-32-gb-ddr4-3600-cl18-memory-kf436c18rb32,https://cdna.pcpartpicker.com/static/forever/images/product/c183272c8def7d4358587b43888ebfce.256p.jpg,DDR4-3600,1 x 32GB,,Black,10 ns,18,
Kingston FURY Renegade 32 GB,https://pcpartpicker.com/product/cY3gXL/kingston-fury-renegade-32-gb-2-x-16-gb-ddr5-6000-cl32-memory-kf560c32rsk2-32,https://cdna.pcpartpicker.com/static/forever/images/product/c0c275463261956ce864a9d7ff1415bc.256p.jpg,DDR5-6000,2 x 16GB,,Silver / Black,10.667 ns,32,
G.Skill Ripjaws S5 96 GB,https://pcpartpicker.com/product/pJyH99/gskill-ripjaws-s5-96-gb-2-x-48-gb-ddr5-5600-cl40-memory-f5-5600j4040d48gx2-rs5k,https://cdna.pcpartpicker.com/static/forever/images/product/e79ecc7a9e98cb30f9316ed7dac0858b.256p.jpg,DDR5-5600,2 x 48GB,$10.937,Black,14.286 ns,40,1049.99
G.Skill Trident Z5 32 GB,https://pcpartpicker.com/product/KQ92FT/gskill-trident-z5-32-gb-2-x-16-gb-ddr5-5600-cl36-memory-f5-5600j3636c16gx2-tz5k,https://cdna.pcpartpicker.com/static/forever/images/product/724cfac45b8ce135dde645e4e98085c7.256p.jpg,DDR5-5600,2 x 16GB,$14.687,Black,12.857 ns,36,469.99
Corsair Vengeance 32 GB,https://pcpartpicker.com/product/mLyH99/corsair-vengeance-32-gb-2-x-16-gb-ddr5-6400-cl32-memory-cmk32gx5m2b6400c32w,https://cdna.pcpartpicker.com/static/forever/images/product/a23f0acd215c244b3634a20d9d9fc2c1.256p.jpg,DDR5-6400,2 x 16GB,$17.218,White / Gray,10 ns,32,550.99
