Name,URL,Image,Type,Color,Power Supply,Side Panel,External Volume,"Internal 3.5"" Bays",Price
NZXT H7 Flow (2024),https://pcpartpicker.com/product/4yMMnQ/nzxt-h7-flow-2024-atx-mid-tower-case-cm-h72fb-01,https://cdna.pcpartpicker.com/static/forever/images/product/1adad593d049169c8f3bb35a682a0fab.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,62.1 L,2,109.98
Lian Li A3-mATX,https://pcpartpicker.com/product/vvsMnQ/lian-li-a3-matx-microatx-mini-tower-case-a3x-wdg,https://cdna.pcpartpicker.com/static/forever/images/product/95b91096ca28bcf182804214fdad4e53.256p.jpg,MicroATX Mini Tower,Black / Brown,None,Tempered Glass,26.3 L,1,89.99
Fractal Design Terra,https://pcpartpicker.com/product/rpKscf/fractal-design-terra-mini-itx-desktop-case-fd-c-ter1n-03,https://cdna.pcpartpicker.com/static/forever/images/product/46f3b3672c252def1f9cc56db0a11b61.256p.jpg,Mini ITX Desktop,Green / Brown,None,Mesh,11.4 L,0,199.99
Lian Li A4-H20 X4,https://pcpartpicker.com/product/jT7G3C/lian-li-a4-h20-x4-mini-itx-desktop-case-a4-h20-x4,https://cdna.pcpartpicker.com/static/forever/images/product/5976fcee24c589859552a9f087690430.256p.jpg,Mini ITX Desktop,Black,None,Mesh,11.1 L,0,134.99
BGears b-Vortex-RGB,https://pcpartpicker.com/product/4Y4Ycf/bgears-b-vortex-rgb-atx-mid-tower-case-b-vortex-rgb,https://cdna.pcpartpicker.com/static/forever/images/product/f2ab16c91b23579079786ac9973f5ca2.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,38.3 L,2,45.99
Antec C5 ARGB,https://pcpartpicker.com/product/MFNYcf/antec-c5-argb-atx-mid-tower-case-0-761345-10033-5,https://cdna.pcpartpicker.com/static/forever/images/product/47f5f80539aa5e8cc9f4d5ebe8cd1dd2.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,,1,109.97
Asus ROG Strix Helios,https://pcpartpicker.com/product/FhRzK8/asus-rog-strix-helios-atx-full-tower-case-gx601,https://cdna.pcpartpicker.com/static/forever/images/product/7fb0b865a88be851eb7fdac685bf373c.256p.jpg,ATX Full Tower,Black,None,Tempered Glass,83.5 L,2,249.99
Antec C8,https://pcpartpicker.com/product/yxdG3C/antec-c8-atx-mid-tower-case-c8,https://cdna.pcpartpicker.com/static/forever/images/product/881b5d3048a3e6c614c565698022feb6.256p.jpg,ATX Full Tower,Black,None,Tempered Glass,66.9 L,2,114.99
NZXT H9 Flow RGB+ (2025),https://pcpartpicker.com/product/mfFCmG/nzxt-h9-flow-rgb-2025-atx-mid-tower-case-cm-h92fb-p1,https://cdna.pcpartpicker.com/static/forever/images/product/463721369e4217261a778db8b67b118c.256p.jpg,ATX Mid Tower,Black,None,Tinted Tempered Glass,76.7 L,2,279.99
NZXT H3 Flow,https://pcpartpicker.com/product/qxbypg/nzxt-h3-flow-microatx-mid-tower-case-cc-h31fw-01,https://cdna.pcpartpicker.com/static/forever/images/product/ae820ec6301086ad1c7f4151a4fd9e14.256p.jpg,MicroATX Mid Tower,White,None,Tempered Glass,35.0 L,1,49.99
Phanteks XT M3,https://pcpartpicker.com/product/zqNscf/phanteks-xt-m3-microatx-mid-tower-case-ph-xt325m_bk01,https://cdna.pcpartpicker.com/static/forever/images/product/e2cf4624a2d1a1d5f15336e2ad3c14b0.256p.jpg,MicroATX Mid Tower,Black,None,Tempered Glass,40.0 L,1,
Montech KING 95 PRO,https://pcpartpicker.com/product/7qQKHx/montech-king-95-pro-atx-mid-tower-case-king-95-pro-black,https://cdna.pcpartpicker.com/static/forever/images/product/6e645766ef331a1911f2c74016db9efa.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,63.0 L,5,139.88
Fractal Design North,https://pcpartpicker.com/product/sHYmP6/fractal-design-north-atx-mid-tower-case-fd-c-nor1c-01,https://cdna.pcpartpicker.com/static/forever/images/product/3f3fee8b3f2a98afa0703bc19dfb5663.256p.jpg,ATX Mid Tower,Black,None,Mesh,45.1 L,2,154.99
Deepcool CG530 4F,https://pcpartpicker.com/product/yTJBD3/deepcool-cg530-4f-atx-mid-tower-case-r-cg530-bkada4-g-1,https://cdna.pcpartpicker.com/static/forever/images/product/5921b1e072b530264f56e87c6a954f93.256p.jpg,ATX Mid Tower,Black,None,Tinted Acrylic,50.0 L,2,
Fractal Design Ridge PCIe 4.0,https://pcpartpicker.com/product/PQdG3C/fractal-design-ridge-pcie-40-mini-itx-tower-case-fd-c-rid1n-11,https://m.media-amazon.com/images/I/31bjjZkjSOL.jpg,Mini ITX Tower,Black,None,Mesh,16.3 L,0,119.99
Corsair 7000D AIRFLOW,https://pcpartpicker.com/product/4fhFf7/corsair-7000d-airflow-atx-mid-tower-case-cc-9011218ww,https://cdna.pcpartpicker.com/static/forever/images/product/aa86351c8df24a48c98e7a14f50631a3.256p.jpg,ATX Full Tower,Black,None,Tempered Glass,81.8 L,6,269.99
Montech AIR 903 BASE,https://pcpartpicker.com/product/kKcgXL/montech-air-903-base-atx-mid-tower-case-air-903-base-b,https://m.media-amazon.com/images/I/51HK6wbkmnL.jpg,ATX Mid Tower,Black,None,Tempered Glass,54.2 L,2,64.98
Silverstone FLP02,https://pcpartpicker.com/product/W2fV3C/silverstone-flp02-atx-mid-tower-case-sst-flp02w,https://m.media-amazon.com/images/I/41GuamGnFsL.jpg,ATX Mid Tower,White,None,None,54.1 L,4,247.99
NZXT H9 Flow RGB+ (2025),https://pcpartpicker.com/product/8FKnTW/nzxt-h9-flow-rgb-2025-atx-mid-tower-case-cm-h92fw-p1,https://cdna.pcpartpicker.com/static/forever/images/product/791f157d26538e32901a4b24f6744af7.256p.jpg,ATX Mid Tower,White,None,Tempered Glass,76.7 L,2,229.99
Corsair 3000D AIRFLOW,https://pcpartpicker.com/product/NcRwrH/corsair-3000d-airflow-atx-mid-tower-case-cc-9011251-ww,https://cdna.pcpartpicker.com/static/forever/images/product/586841ed9160739668a55d1321c9494e.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,49.5 L,2,94.99
Asus Prime AP201,https://pcpartpicker.com/product/fPZ9TW/asus-prime-ap201-microatx-mini-tower-case-ap201blkmesh,https://cdna.pcpartpicker.com/static/forever/images/product/e40d8d2f2651fa6faca4e0a4552f8545.256p.jpg,MicroATX Mini Tower,Black,None,Mesh,33.0 L,3,74.98
Jonsbo NV10,https://pcpartpicker.com/product/9qh2FT/jonsbo-nv10-mini-itx-desktop-case-nv10-black,https://cdna.pcpartpicker.com/static/forever/images/product/76cf9932ea9ceb95c93d25febfbb2036.256p.jpg,Mini ITX Desktop,Black / Brown,None,Mesh,4.5 L,0,85.00
NZXT H9 Flow (2025),https://pcpartpicker.com/product/9jNscf/nzxt-h9-flow-2025-atx-mid-tower-case-cm-h92fw-01,https://cdna.pcpartpicker.com/static/forever/images/product/c3f08e007e343d626448d0e1b5ef48e4.256p.jpg,ATX Mid Tower,White,None,Tempered Glass,76.7 L,2,119.99
Lian Li LANCOOL 217 INF,https://pcpartpicker.com/product/mzRnTW/lian-li-lancool-217-inf-atx-mid-tower-case-lan217infx,https://cdna.pcpartpicker.com/static/forever/images/product/8ab290fa1403b07b9ddf10897e60670f.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,57.7 L,4,124.00
Lian Li A3-mATX,https://pcpartpicker.com/product/zPVfrH/lian-li-a3-matx-microatx-mini-tower-case-a3-matx-wd-white,https://cdna.pcpartpicker.com/static/forever/images/product/147f3c308af738ae654e7cd9361fb780.256p.jpg,MicroATX Mini Tower,White / Brown,None,Tempered Glass,26.3 L,1,89.99
Jonsbo C6-ITX,https://pcpartpicker.com/product/RhqNnQ/jonsbo-c6-itx-mini-itx-desktop-case-c6-itx-black,https://cdna.pcpartpicker.com/static/forever/images/product/1046a701715276b7c900588c25c30e6f.256p.jpg,Mini ITX Desktop,Black,None,Mesh,15.9 L,1,62.00
Phanteks EVOLV X2,https://pcpartpicker.com/product/7wzp99/phanteks-evolv-x2-atx-mid-tower-case-ph-es524xtg_dbk01,https://cdna.pcpartpicker.com/static/forever/images/product/ff22ad5c41d204e9aeba33ea73af0c2a.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,60.9 L,2,119.99
Lian Li LANCOOL 216,https://pcpartpicker.com/product/qP2WGX/lian-li-lancool-216-atx-mid-tower-case-lancool-216x,https://cdna.pcpartpicker.com/static/forever/images/product/dc1a8a0fc34540a759fcee0a553949e0.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,55.6 L,2,98.97
Lian Li Vector V100,https://pcpartpicker.com/product/qRwD4D/lian-li-v100-atx-mid-tower-case-v100w,https://m.media-amazon.com/images/I/41vqWBBdd2L.jpg,ATX Mid Tower,White,None,Tempered Glass,53.2 L,1,54.99
Fractal Design North,https://pcpartpicker.com/product/Pmytt6/fractal-design-north-atx-mid-tower-case-fd-c-nor1c-04,https://cdna.pcpartpicker.com/static/forever/images/product/b27a7e4bc53387580b31da81c7df34ab.256p.jpg,ATX Mid Tower,White,None,Tempered Glass,45.1 L,2,154.97
Antec FLUX PRO,https://pcpartpicker.com/product/RhWJ7P/antec-flux-pro-atx-full-tower-case-0-761345-10148-6,https://cdna.pcpartpicker.com/static/forever/images/product/b76da1b61903db1a3a2ae31295d52f6f.256p.jpg,ATX Full Tower,Black / Brown,None,Tempered Glass,70.8 L,4,159.99
Fractal Design Define R5,https://pcpartpicker.com/product/sjX2FT/fractal-design-case-fdcadefr5bk,https://cdna.pcpartpicker.com/static/forever/images/product/3803ebb09f64ddc954a86cb7b45a8ebd.256p.jpg,ATX Mid Tower,Black,None,None,54.2 L,8,134.99
Lian Li O11 Dynamic Mini V2 Flow,https://pcpartpicker.com/product/DfDnTW/lian-li-o11-dynamic-mini-v2-flow-atx-mini-tower-case-o11dmiv2fw,https://cdna.pcpartpicker.com/static/forever/images/product/4d30fd5e4f14ca88cfab0487711bec6e.256p.jpg,ATX Mid Tower,White,None,Tempered Glass,45.4 L,2,99.99
HAVN BF 360 Flow,https://pcpartpicker.com/product/BwKnTW/havn-bf-360-flow-atx-mid-tower-case-hvn-ca-bf360-04,https://cdna.pcpartpicker.com/static/forever/images/product/8ef4d01c7c9c0c94f1b6a841f37d905e.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,68.4 L,2,229.99
