Name,URL,Image,Style,Switch Type,Backlit,Tenkeyless,Connection Type,Color,Price
Logitech PRO X RAPID,https://pcpartpicker.com/product/Zkhv6h/logitech-pro-x-rapid-rgb-wired-gaming-keyboard-920-013240,https://cdna.pcpartpicker.com/static/forever/images/product/d1a829f6e6fe271f12e9906be0b690da.256p.jpg,Gaming,Logitech Magnetic Analog,RGB,Yes,Wired,White,
Corsair STRAFE RGB,https://pcpartpicker.com/product/rHzZxr/corsair-strafe-rgb-wired-gaming-keyboard-ch-9000121-na,https://m.media-amazon.com/images/I/51RCYeFTpfL.jpg,Gaming,Cherry MX Silent,RGB,No,Wired,Black / White,
Razer BlackWidow Chroma V2,https://pcpartpicker.com/product/8ZDzK8/razer-blackwidow-chroma-v2-wired-gaming-keyboard-rz03-02030200-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/be8dcdf473ce016ee512210131c19df7.256p.jpg,Gaming,Razer Green,RGB,No,Wired,Black,
Keychron K3 V2 Ultra-slim,https://pcpartpicker.com/product/gzRwrH/keychron-k3-v2-ultra-slim-bluetoothwired-standard-keyboard-k3-a3,https://m.media-amazon.com/images/I/41sJHJ6FxzL.jpg,Standard,Gateron Low-Profile Brown,White,Yes,"Wired, Bluetooth Wireless",Black / Gray,63.00
8BitDo Retro Fami,https://pcpartpicker.com/product/3NCZxr/8bitdo-retro-fami-wiredbluetoothwireless-gaming-keyboard-6922621504283,https://m.media-amazon.com/images/I/41XFmSMePLL.jpg,Gaming,Kailh Box White V2,None,Yes,"Wired, Wireless, Bluetooth Wireless",White / Red,99.99
SMK-Link VP3800,https://pcpartpicker.com/product/GykwrH/smk-link-keyboard-vp3800,https://m.media-amazon.com/images/I/41a+GYPvWNL.jpg,Standard,,None,No,Wired,Black,14.99
Logitech G710,https://pcpartpicker.com/product/s8Trxr/logitech-keyboard-920006519,https://m.media-amazon.com/images/I/41sexLhzitL.jpg,Gaming,Cherry MX Blue,White,No,Wired,Black / Blue,350.00
NZXT Function 2,https://pcpartpicker.com/product/wPWJ7P/nzxt-function-2-rgb-wired-gaming-keyboard-kb-001nw-us,https://cdna.pcpartpicker.com/static/forever/images/product/64c10088749a6a17327576b9b6723b46.256p.jpg,Gaming,NZXT Swift Optical 40g,RGB,No,Wired,White,
Logitech G413 SE,https://pcpartpicker.com/product/zdZ9TW/logitech-g413-se-wired-gaming-keyboard-920-010437,https://cdna.pcpartpicker.com/static/forever/images/product/204c9b8626f4eb76f0bd488f13c3ca4c.256p.jpg,Gaming,Kailh LT Brown,White,No,Wired,Black,
Keychron K4 V2,https://pcpartpicker.com/product/293gXL/keychron-k4-v2-rgb-bluetoothwired-standard-keyboard-k4c3,https://cdna.pcpartpicker.com/static/forever/images/product/bc299b9d5b76538380f98e5a10b55923.256p.jpg,Standard,Gateron G Pro Brown,RGB,No,"Wired, Bluetooth Wireless",Black / Gray,84.99
HP HyperX Alloy Rise 75,https://pcpartpicker.com/product/pZ4Zxr/hp-hyperx-alloy-rise-75-rgb-wired-gaming-keyboard-7g7a4aaaba,https://m.media-amazon.com/images/I/31GOrx0ecZL.jpg,Gaming,HyperX Red,RGB,Yes,Wired,Black,84.99
be quiet! Dark Mount,https://pcpartpicker.com/product/MDzp99/be-quiet-dark-mount-rgb-wired-gaming-keyboard-bt001uk,https://cdna.pcpartpicker.com/static/forever/images/product/9e7a3a8e1e57d61078338ffba120d6e2.256p.jpg,Gaming,be quiet! Silent Orange Linear,RGB,No,Wired,Black,
Keychron V3 Max QMK/VIA,https://pcpartpicker.com/product/kM4Pxr/keychron-v3-max-qmkvia-rgb-bluetoothwirelesswired-standard-keyboard-v3m-d1,https://cdna.pcpartpicker.com/static/forever/images/product/4abfe3f046af13c450d4bdc465e62113.256p.jpg,Standard,Gateron Jupiter Red,RGB,Yes,"Wired, Wireless, Bluetooth Wireless",Black / Blue,
Razer BlackWidow V4 Low-Profile HyperSpeed,https://pcpartpicker.com/product/scvscf/razer-blackwidow-v4-low-profile-hyperspeed-rgb-bluetoothwirelesswired-gaming-keyboard-rz03-05450600-r3u1,https://m.media-amazon.com/images/I/41KJ-BPqN1L.jpg,Gaming,Razer Green Low-Profile Clicky,RGB,Yes,"Wired, Wireless, Bluetooth Wireless",Black,169.99
Microsoft WTA-00001,https://pcpartpicker.com/product/D7Lypg/microsoft-keyboard-wta00001,https://m.media-amazon.com/images/I/41oNMagySjL.jpg,Ergonomic,,None,No,Wireless,Black / Silver,689.00
Ducky Ducky One 2 SF RGB,https://pcpartpicker.com/product/Wdwkcf/ducky-ducky-one-2-sf-rgb-wired-gaming-keyboard-dkon1967st-cuspdazt1,https://cdna.pcpartpicker.com/static/forever/images/product/5b95223af6b3b7bf3956b58ecc921627.256p.jpg,Gaming,Cherry MX Blue,RGB,Yes,Wired,Black,
Logitech PRO X,https://pcpartpicker.com/product/TLbRsY/logitech-pro-x-rgb-bluetoothwirelesswired-gaming-keyboard-920-012154,https://cdna.pcpartpicker.com/static/forever/images/product/ba46cdcf2d7d2ed60c6e24261866515a.256p.jpg,Gaming,Logitech GX Brown Tactile,RGB,Yes,"Wired, Wireless, Bluetooth Wireless",Pink,208.99
Razer BlackWidow Elite,https://pcpartpicker.com/product/bB3H99/razer-blackwidow-elite-wired-gaming-keyboard-rz03-02620200-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/a332db2d0c31a202132cf13e195e411f.256p.jpg,Gaming,Razer Green,RGB,No,Wired,Black,
SteelSeries Apex Pro TKL (2023),https://pcpartpicker.com/product/FsWJ7P/steelseries-apex-pro-tkl-2023-rgb-wired-gaming-keyboard-64856,https://cdna.pcpartpicker.com/static/forever/images/product/815d5561e291cf4987fe17043e32f657.256p.jpg,Gaming,SteelSeries OmniPoint 2.0,RGB,Yes,Wired,Black,
Asus ROG Strix Scope,https://pcpartpicker.com/product/Fcyqqs/asus-rog-strix-scope-rgb-wired-gaming-keyboard-90mp01n1-bkua00,https://m.media-amazon.com/images/I/410bM9BfEeL.jpg,Gaming,Cherry MX Brown RGB,RGB,Yes,Wired,,109.99
Keychron Q6 Pro,https://pcpartpicker.com/product/b2hv6h/keychron-q6-pro-rgb-bluetoothwirelesswired-gaming-keyboard-q6p-p3,https://m.media-amazon.com/images/I/414K4qDfE1L.jpg,Gaming,Keychron K Pro Brown,RGB,No,"Wired, Wireless, Bluetooth Wireless",White / Red,219.99
Logitech G715,https://pcpartpicker.com/product/DJJgXL/logitech-g715-rgb-wiredwirelessbluetooth-gaming-keyboard-920-010656,https://cdna.pcpartpicker.com/static/forever/images/product/b538525c57435bc25a9877b12fd37d96.256p.jpg,Gaming,GX Blue,RGB,Yes,"Wired, Wireless, Bluetooth Wireless",White,199.99
Logitech G915 X,https://pcpartpicker.com/product/Xxn9TW/logitech-g915-x-rgb-wired-gaming-keyboard-920-012942,https://m.media-amazon.com/images/I/31CmNO1BUmL.jpg,Gaming,Logitech GL Tactile,RGB,No,Wired,Black,
Logitech MK470,https://pcpartpicker.com/product/sshmP6/logitech-mk470-wirelesswired-slim-keyboard-with-optical-mouse-920-009437,https://cdna.pcpartpicker.com/static/forever/images/product/30c447538cd96e88e0524b5496e40dd2.256p.jpg,Slim,,None,No,"Wired, Wireless",Black / Gray,32.00
NZXT KB-101NW-US,https://pcpartpicker.com/product/T8JBD3/nzxt-kb-101nw-us-rgb-wired-gaming-keyboard-kb-101nw-us,https://cdna.pcpartpicker.com/static/forever/images/product/a46a59b79fb69c1822d45bd233820719.256p.jpg,Gaming,,RGB,Yes,Wired,White,76.67
Corsair K70 RGB PRO,https://pcpartpicker.com/product/rCNxFT/corsair-k70-rgb-pro-rgb-wired-gaming-keyboard-ch-910941a-na,https://cdna.pcpartpicker.com/static/forever/images/product/fac23376b93e2adda98dba1429879bcd.256p.jpg,Gaming,Corsair OPX,RGB,No,Wired,Black,
Razer BlackWidow V4 Pro,https://pcpartpicker.com/product/mNpQzy/razer-blackwidow-v4-pro-rgb-wired-gaming-keyboard-rz03-04680400-r3g1,https://cdna.pcpartpicker.com/static/forever/images/product/6762efbe01e6a0da3d23fe94267b09f2.256p.jpg,Gaming,Razer Green,RGB,No,Wired,Black,
Logitech G613,https://pcpartpicker.com/product/R3KhP6/logitech-g613-wireless-standard-keyboard-920-008386,https://cdna.pcpartpicker.com/static/forever/images/product/5ab9183eee9469ceac9dfb94986000fc.256p.jpg,Standard,Romer-G Tactile,None,No,Wireless,Black,
Razer DeathStalker V2 Pro,https://pcpartpicker.com/product/FD92FT/razer-deathstalker-v2-pro-rgb-wireless-gaming-keyboard-rz03-04370200-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/39af21d408f8a4e77272bca22cdee334.256p.jpg,Gaming,Razer Red Low-Profile Optical Linear,RGB,Yes,Wireless,Black,145.99
Logitech MX Mechanical Mini,https://pcpartpicker.com/product/83D7YJ/logitech-mx-mechanical-mini-wireless-slim-keyboard-920-010552,https://cdna.pcpartpicker.com/static/forever/images/product/769fd6ff52abc89ff59c40adc34d0981.256p.jpg,Slim,Kailh Choc V2 Blue,White,Yes,Wireless,,149.99
NZXT Function 2,https://pcpartpicker.com/product/XLXV3C/nzxt-function-2-rgb-wired-gaming-keyboard-kb-002nw-de,https://cdna.pcpartpicker.com/static/forever/images/product/2c0e082565e6a9ed7a3728f8ebedd67f.256p.jpg,Gaming,NZXT Swift Optical 40g,RGB,Yes,Wired,White,
Razer Ornata V2,https://pcpartpicker.com/product/yL92FT/razer-ornata-v2-rgb-wired-gaming-keyboard-rz03-03380200-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/e310159767a64284c97caf2777f5dd90.256p.jpg,Gaming,,RGB,No,Wired,Black,
Logitech MX KEYS MINI,https://pcpartpicker.com/product/vnkWGX/logitech-mx-keys-mini-bluetoothwirelesswired-mini-keyboard-920-010475,https://cdna.pcpartpicker.com/static/forever/images/product/0b4d634a85bea39e8e1602a6fea529ef.256p.jpg,Mini,,None,Yes,"Wired, Wireless, Bluetooth Wireless",Black,94.99
WOBKEY Rainy 75 Pro,https://pcpartpicker.com/product/rVbypg/wobkey-rainy-75-pro-rgb-bluetoothwirelesswired-standard-keyboard-pr75ccwht,/static/forever/img/no-image.png,Standard,Kailh Cocoa,RGB,Yes,"Wired, Wireless, Bluetooth Wireless",White,
Kensington Pro Fit Ergo,https://pcpartpicker.com/product/6QcRsY/kensington-pro-fit-ergo-wireless-ergonomic-keyboard-k75400us,https://cdna.pcpartpicker.com/static/forever/images/product/e611d41e25e712e3211eef8f31e8085d.256p.jpg,Ergonomic,,None,No,Wireless,Black,30.18
Razer TARTARUS V2,https://pcpartpicker.com/product/G8VD4D/razer-tartarus-v2-wired-ergonomic-keyboard-rz07-02270100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/58435028e535c1666deb7a18a7a46f50.256p.jpg,Ergonomic,,RGB,Yes,Wired,Black,79.98
Asus ROG Falchion RX,https://pcpartpicker.com/product/PD4Pxr/asus-rog-falchion-rx-rgb-wirelessbluetoothwired-slim-keyboard-m603-falchion-rx-lprlbl,https://m.media-amazon.com/images/I/419BTrMH2IL.jpg,Slim,ROG RX Blue Optical,RGB,Yes,"Wired, Wireless, Bluetooth Wireless",White,160.49
be quiet! Dark Mount,https://pcpartpicker.com/product/GwqNnQ/be-quiet-dark-mount-rgb-wired-gaming-keyboard-bt001de,https://cdna.pcpartpicker.com/static/forever/images/product/d3129031242e30f94432c6a96067e39d.256p.jpg,Gaming,be quiet! Silent Orange Linear,RGB,No,Wired,Black,
Logitech G713,https://pcpartpicker.com/product/rFvdnQ/logitech-g713-rgb-wired-gaming-keyboard-920-010413,https://cdna.pcpartpicker.com/static/forever/images/product/fd9f72c94ad3ceb6805a5f9ab2e7b93f.256p.jpg,Gaming,GX Brown,RGB,Yes,Wired,White,169.99
Keychron K10,https://pcpartpicker.com/product/FkdMnQ/keychron-k10-bluetoothwired-standard-keyboard-k10-a3,https://m.media-amazon.com/images/I/31ssMvj7kFL.jpg,Standard,Gateron G Pro Brown,White,No,"Wired, Bluetooth Wireless",Gray / Black,84.99
Corsair K68 RGB,https://pcpartpicker.com/product/Rwc48d/corsair-k68-rgb-wired-gaming-keyboard-ch-9102010-na,https://cdna.pcpartpicker.com/static/forever/images/product/0664d380b36880abfb5da0135aad770b.256p.jpg,Gaming,Cherry MX Red,RGB,No,Wired,Black,
Razer Pro Type Ultra - US,https://pcpartpicker.com/product/73qPxr/razer-pro-type-ultra-us-wiredwirelessbluetooth-standard-keyboard-rz03-04110100-r3m1,https://cdna.pcpartpicker.com/static/forever/images/product/c59862c23b727511168f8e974d77f47a.256p.jpg,Standard,Razer Yellow,White,No,"Wired, Wireless, Bluetooth Wireless",White / Gray,
