Name,URL,Image,Tracking Method,Connection Type,Maximum DPI,Hand Orientation,Color,Price
Adesso IMOUSE W4,https://pcpartpicker.com/product/QJKcCJ/adesso-imouse-w4-wired-optical-mouse-imouse-w4,https://cdna.pcpartpicker.com/static/forever/images/product/3a726509d7a4f40b24e95ffb5a8b319e.256p.jpg,Optical,Wired,1000,Both,Black,24.99
Adesso iMouse E10,https://pcpartpicker.com/product/RdL48d/adesso-imouse-e10-wireless-optical-mouse-imousee10,https://cdna.pcpartpicker.com/static/forever/images/product/21bd08e49a0a4b9dc3d2a4803dd7d11d.256p.jpg,Optical,Wireless,1600,Right,Black,39.99
Adesso iMouse E30,https://pcpartpicker.com/product/9MsmP6/adesso-imouse-e30-wireless-optical-mouse-imousee30,https://cdna.pcpartpicker.com/static/forever/images/product/29828c44df1777c5feb6a3af111a44fc.256p.jpg,Optical,Wireless,4800,Right,Black,34.99
Adesso iMouse E55,https://pcpartpicker.com/product/7xw7YJ/adesso-imouse-e55-wireless-optical-mouse-imousee55,https://cdna.pcpartpicker.com/static/forever/images/product/e20a6e6826b9d0b8b967f48862605250.256p.jpg,Optical,Wireless,1000,Right,Black,
Adesso iMouse E70,https://pcpartpicker.com/product/VNtQzy/adesso-imouse-e70-wireless-optical-mouse-imousee70,https://cdna.pcpartpicker.com/static/forever/images/product/9d00c6f1f0cfa0bc59bb907c113199a8.256p.jpg,Optical,Wireless,4800,Left,Black,42.00
Adesso iMouse E9,https://pcpartpicker.com/product/mtZFf7/adesso-imouse-e9-wireless-optical-mouse-imousee9,https://cdna.pcpartpicker.com/static/forever/images/product/dcd6c38d6a5b21c1575e9637de197690.256p.jpg,Optical,Wireless,2400,Left,Black,
Adesso iMouse S5,https://pcpartpicker.com/product/2dL48d/adesso-imouse-s5-wired-optical-mouse-imouses5,https://cdna.pcpartpicker.com/static/forever/images/product/f284be899b7e60708e55e01eff0e1704.256p.jpg,Optical,Wired,1000,Both,Black,12.99
Adesso iMouse S70G,https://pcpartpicker.com/product/Wp66Mp/adesso-imouse-s70g-wireless-optical-mouse-imouses70g,https://cdna.pcpartpicker.com/static/forever/images/product/afed803241ba7cc15d6aeeb83bf6de7f.256p.jpg,Optical,Wireless,1000,Both,Green / Black,
Adesso iMouse S70L,https://pcpartpicker.com/product/6wWfrH/adesso-imouse-s70l-wireless-optical-mouse-imouses70l,https://cdna.pcpartpicker.com/static/forever/images/product/6f4d11ede6ac20545706e28d40ab02cf.256p.jpg,Optical,Wireless,1000,Both,Blue,
Adesso iMouse V10,https://pcpartpicker.com/product/BKw7YJ/adesso-imouse-v10-wireless-optical-mouse-imousew3,https://cdna.pcpartpicker.com/static/forever/images/product/bfa0045e710716224b31f66d6f034131.256p.jpg,Optical,Wireless,1600,Right,Black / Yellow,25.89
Adesso iMouse S60R,https://pcpartpicker.com/product/fKw7YJ/adesso-imouse-s60r-wireless-optical-mouse-imouse-s60r,https://cdna.pcpartpicker.com/static/forever/images/product/d95f13ff3cdda40e0edcfc75370a2692.256p.jpg,Optical,Wireless,1600,Right,Red / Black,18.98
Adesso iMouse S100B,https://pcpartpicker.com/product/9jTPxr/adesso-imouse-s100b-wireless-optical-mouse-imouse-s100b,https://cdna.pcpartpicker.com/static/forever/images/product/e6bd4f6267c1829adcf914f4a71b13fc.256p.jpg,Optical,Wireless,1200,Both,Black,
Adesso iMouse S70P,https://pcpartpicker.com/product/mfw7YJ/adesso-imouse-s70p-wireless-optical-mouse-imouses70p,https://cdna.pcpartpicker.com/static/forever/images/product/cf28f9f62507e18319dbb081d9d140be.256p.jpg,Optical,Wireless,1000,Both,Pink / Black,
Adesso iMouse M40,https://pcpartpicker.com/product/gr3H99/adesso-imouse-m40-wireless-optical-mouse-imousem40,https://cdna.pcpartpicker.com/static/forever/images/product/ed74d1dde8cf3fe8eeaccb0ce25efa7d.256p.jpg,Optical,Wireless,1200,Both,Black,
Adesso iMouse S80L,https://pcpartpicker.com/product/4T448d/adesso-imouse-s80l-wireless-optical-mouse-imouses80l,https://cdna.pcpartpicker.com/static/forever/images/product/90fb360ae6ee1cbdca3734ebbc9990c0.256p.jpg,Optical,Wireless,1600,Right,Blue / Black,
Adesso iMouse S80R,https://pcpartpicker.com/product/fLCD4D/adesso-imouse-s80r-wireless-optical-mouse-imouses80r,https://cdna.pcpartpicker.com/static/forever/images/product/a56ed4b7fe002072f20888bbed912c55.256p.jpg,Optical,Wireless,1600,Right,Red / Black,16.98
Adesso iMouse E7,https://pcpartpicker.com/product/kc8j4D/adesso-imouse-e7-wired-optical-mouse-imousee7,https://cdna.pcpartpicker.com/static/forever/images/product/1905a31bf8160eafb39ed71f1bc3e6c9.256p.jpg,Optical,Wired,6400,Left,Black,34.39
Acco Kensington K72392US,https://pcpartpicker.com/product/BNdxFT/acco-kensington-k72392us-wireless-optical-mouse-k72392us,https://cdna.pcpartpicker.com/static/forever/images/product/566d1c88e6db5606fb340b0d6c14d356.256p.jpg,Optical,Wireless,1000,Both,Black,
Acco KENSINGTON K64327F,https://pcpartpicker.com/product/X697YJ/acco-kensington-k64327f-wired-optical-mouse-k64327f,https://cdna.pcpartpicker.com/static/forever/images/product/c9547be57f30c443e9675386c3dd154c.256p.jpg,Optical,Wired,,Both,Silver / Black,
ADATA XPG INFAREX M10,https://pcpartpicker.com/product/yRTzK8/adata-xpg-infarex-m10-wired-optical-mouse-infarex-m10infarex-r10,https://cdna.pcpartpicker.com/static/forever/images/product/3c370cfdc52ca97dd6a6b9c98902b93e.256p.jpg,Optical,Wired,3200,Right,Black,
ADATA XPG INFAREX M20,https://pcpartpicker.com/product/dwzFf7/adata-xpg-infarex-m20-wired-optical-mouse-infarex-m20,https://cdna.pcpartpicker.com/static/forever/images/product/51382472196c26960f93dbb88abf5aa1.256p.jpg,Optical,Wired,5000,Right,Black,
Fellowes Penguin Medium,https://pcpartpicker.com/product/FkYLrH/fellowes-penguin-medium-wired-laser-mouse-9894601,https://cdna.pcpartpicker.com/static/forever/images/product/afa11d1bd18f071aff1287c5b2d0d20b.256p.jpg,Laser,Wired,1200,Both,Black / Silver,
