Name,URL,Image,Configuration,Total Wattage,Frequency Response,Color,Price
JBL C2PS,https://pcpartpicker.com/product/L7BTwP/jbl-c2ps-70w-2ch-speakers-c2ps,https://cdna.pcpartpicker.com/static/forever/images/product/21532f3ca1370178395adec58bc62907.256p.jpg,2.0,70 W,80 Hz - 20 kHz,Black,275.99
SteelSeries Arena 3 US,https://pcpartpicker.com/product/qymmP6/steelseries-arena-3-us-speakers-61534,https://cdna.pcpartpicker.com/static/forever/images/product/7d272bd9d622c43c6b8f886e4597d373.256p.jpg,2.0,,50 Hz - 20 kHz,Black,149.99
Logitech Z506,https://pcpartpicker.com/product/YwLypg/logitech-speakers-980000430,https://cdna.pcpartpicker.com/static/forever/images/product/ab83440cd62546724e32334252eb263c.256p.jpg,5.1,155 W,45 Hz - 20 kHz,,
Kanto YU2MW,https://pcpartpicker.com/product/22ndnQ/kanto-yu2mw-50w-2ch-speakers-yu2mw,https://cdna.pcpartpicker.com/static/forever/images/product/b58ebd8158546f70ee1ac2076088c44a.256p.jpg,2.0,50 W,80 Hz - 20 kHz,White / Black,198.50
Yamaha HS5,https://pcpartpicker.com/product/XNqbt6/yamaha-speakers-hs5,https://m.media-amazon.com/images/I/31L8pPxaVjL.jpg,1.0,70 W,54 Hz - 30 kHz,,199.99
Creative Labs Sound Blaster Katana SE,https://pcpartpicker.com/product/wTTFf7/creative-labs-sound-blaster-katana-se-90-w-speakers-51mf8415aa000,https://m.media-amazon.com/images/I/31639OxheTL.jpg,2.0,90 W,55 Hz - 20 kHz,Black,279.99
Kanto ORA,https://pcpartpicker.com/product/x3CCmG/kanto-ora-100-w-speakers-oramp,https://cdna.pcpartpicker.com/static/forever/images/product/1665879407429d3123a06d8e586e7b96.256p.jpg,2.0,100 W,70 Hz - 22 kHz,Pink / Black,302.99
Cyber Acoustics CA-2016WB,https://pcpartpicker.com/product/dwLypg/cyber-acoustics-speakers-ca2016wb,https://m.media-amazon.com/images/I/41f0OgirtqL.jpg,2.0,3 W,260 Hz - 20 kHz,,20.32
ADAM Audio D3V,https://pcpartpicker.com/product/Csjv6h/adam-audio-d3v-240-w-speakers-ams-d3v-white,https://m.media-amazon.com/images/I/31gTWasRo9L.jpg,2.0,240 W,45 Hz - 23.2 kHz,White,349.99
Onkyo GX-30ARC,https://pcpartpicker.com/product/bDZWGX/onkyo-gx-30arc-50-w-speakers-gx30arcwcuu,https://m.media-amazon.com/images/I/31X1mtYzgHL.jpg,2.0,50 W,20 Hz - 20 kHz,White,282.99
NZXT Relay,https://pcpartpicker.com/product/RgP8TW/nzxt-relay-140-w-speaker-ap-sub80-us,https://m.media-amazon.com/images/I/31-lWcQixTL.jpg,1.0,140 W,45 Hz - 150 Hz,Black,
Kanto ORA,https://pcpartpicker.com/product/msYfrH/kanto-ora-100-w-speakers-oramb,https://m.media-amazon.com/images/I/210WEanwnrL.jpg,2.0,100 W,70 Hz - 22 kHz,Black,349.99
Audioengine HD3-BLK,https://pcpartpicker.com/product/Hy848d/audioengine-hd3-blk-60-w-20-channel-speakers-hd3-blk,https://cdna.pcpartpicker.com/static/forever/images/product/432a21cba7d6857a369cbf6384019784.256p.jpg,2.0,60 W,65 Hz - 22 kHz,Black,359.00
Kanto YU2MB,https://pcpartpicker.com/product/7vc48d/kanto-yu2mb-50w-2ch-speakers-yu2mb,https://cdna.pcpartpicker.com/static/forever/images/product/dd046a1003ee58c8550c367e2242e035.256p.jpg,2.0,50 W,80 Hz - 20 kHz,Black,198.50
Edifier S760D,https://pcpartpicker.com/product/fFFKHx/edifier-s760d-540-w-51-channel-speakers-s760d,https://cdna.pcpartpicker.com/static/forever/images/product/8296b76d92c1460988273320d9e492bd.256p.jpg,5.1,540 W,42 Hz - 20 kHz,Black / Silver,
Creative Labs SXFI Carrier,https://pcpartpicker.com/product/Kzh2FT/creative-labs-sxfi-carrier-450-w-21-channel-speakers-51mf8345aa000,https://cdna.pcpartpicker.com/static/forever/images/product/ba906c07749ff008118bc6e59ea71d8e.256p.jpg,2.1,450 W,25 Hz - 20 kHz,Black,
AmazonBasics V216US,https://pcpartpicker.com/product/gTJmP6/amazonbasics-v216us-22-w-20-channel-speakers-v216us,https://images-eu.ssl-images-amazon.com/images/I/51RQDUKIinL.jpg,2.0,4.6 W,68 Hz - 20 kHz,Black,23.99
Trust Asto Soundbar,https://pcpartpicker.com/product/44Wrxr/trust-asto-soundbar-24w-2ch-speakers-21046,https://cdna.pcpartpicker.com/static/forever/images/product/090d56989353d5e28be62b587b98c8cc.256p.jpg,2.0,24 W,20 Hz - 20 kHz,,
ADAM Audio D3V,https://pcpartpicker.com/product/DpFCmG/adam-audio-d3v-240-w-speakers-ams-d3v-black,https://m.media-amazon.com/images/I/31h1e6dXxUL.jpg,2.0,240 W,45 Hz - 23.2 kHz,Black,349.99
Creative Labs T100,https://pcpartpicker.com/product/NnGnTW/creative-labs-t100-40-w-speakers-t100,https://cdna.pcpartpicker.com/static/forever/images/product/6f8072ee19bd66d257dae399b086e7c7.256p.jpg,2.0,40 W,50 Hz - 20 kHz,Black,104.49
Logitech S120,https://pcpartpicker.com/product/X2vRsY/logitech-speakers-980000012,https://cdna.pcpartpicker.com/static/forever/images/product/fdb008aa69b39e302bb88cdf319bdf42.256p.jpg,2.0,2.3 W,50 Hz - 20 kHz,,
Razer Leviathan,https://pcpartpicker.com/product/BFTrxr/razer-speakers-rz0501260100r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/1d97e880ddb8ce5e99226c9be6905c80.256p.jpg,5.1,60 W,180 Hz - 20 kHz,,
Logitech Z213,https://pcpartpicker.com/product/KcQypg/logitech-speakers-980000941,https://cdna.pcpartpicker.com/static/forever/images/product/b927d1d23c185d9064071f909452a075.256p.jpg,2.1,7 W,65 Hz - 20 kHz,,
Corsair Gaming Audio Series SP2500,https://pcpartpicker.com/product/Gj6BD3/corsair-speakers-casp211na,https://m.media-amazon.com/images/I/31QXpGH0PtL.jpg,2.1,232 W,35 Hz - 20 kHz,,
Onkyo GX-30ARC,https://pcpartpicker.com/product/2n62FT/onkyo-gx-30arc-50-w-speakers-gx30arcbcuu,https://cdna.pcpartpicker.com/static/forever/images/product/030d679d7f33a8def6b967be08130f40.256p.jpg,2.0,50 W,20 Hz - 20 kHz,Black,349.00
IK Multimedia IP-ILOUD-MM-IN,https://pcpartpicker.com/product/L3L48d/ik-multimedia-ip-iloud-mm-in-70-w-2ch-speakers-ip-iloud-mm-in,https://cdna.pcpartpicker.com/static/forever/images/product/94765d82545142f55b26557fd1aba759.256p.jpg,2.0,70 W,45 Hz - 22 kHz,Black,249.99
Edifier S880DB MKII,https://pcpartpicker.com/product/8LHp99/edifier-s880db-mkii-88-w-speakers-s880db-mkii,https://m.media-amazon.com/images/I/311sW-Wp6oL.jpg,2.0,88 W,50 Hz - 40 kHz,White,449.99
Creative Labs GigaWorks T40 Series II,https://pcpartpicker.com/product/9tvRsY/creative-labs-speakers-51mf1615aa002,https://cdna.pcpartpicker.com/static/forever/images/product/a6536f7d524e9bdffdc31fe6226d7f6e.256p.jpg,2.0,32 W,50 Hz - 20 kHz,,129.99
