Name,URL,Image,Type,Frequency Response,Microphone,Wireless,Enclosure Type,Color,Price
Razer Opus X,https://pcpartpicker.com/product/GYxRsY/razer-opus-x-headset-rz04-03760300-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/6b875f5902289d0dafbf36fe0f5e043a.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,White / Black,79.00
Koss KEB6K,https://pcpartpicker.com/product/FhV48d/koss-headphones-keb6k,https://m.media-amazon.com/images/I/3127hq6AhtL.jpg,In Ear,,No,No,Closed,Black / Silver,18.48
JVC HARX900,https://pcpartpicker.com/product/8B2kcf/jvc-headphones-harx900,https://cdna.pcpartpicker.com/static/forever/images/product/5d5779e9f310fa3499db7ca6bae6b29d.256p.jpg,Circumaural,7 Hz - 26 kHz,No,No,Closed,Black,64.95
Skullcandy S5AVDM-161,https://pcpartpicker.com/product/9ztCmG/skullcandy-headphones-s5avdm074,https://m.media-amazon.com/images/I/41ff6OywpcL.jpg,Supra-aural,,No,No,Closed,Black / Silver,49.99
Syba CL-AUD63035,https://pcpartpicker.com/product/cLzv6h/syba-headphones-claud63035,https://m.media-amazon.com/images/I/4153ZkcJ-rL.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Blue / White,19.95
Cyber Acoustics ACM-6005,https://pcpartpicker.com/product/c9kj4D/cyber-acoustics-acm-6005-headphones-acm-6005,https://cdna.pcpartpicker.com/static/forever/images/product/313dda61cc019e96fb99c37cd150ecd7.256p.jpg,Supra-aural,,No,No,Closed,Black,16.48
ADATA SOLOX F30+EMIX H30,https://pcpartpicker.com/product/D4mFf7/adata-solox-f30emix-h30-71-channel-headset-solox-f30emix-h30,https://cdna.pcpartpicker.com/static/forever/images/product/ff2b991abcc53394dd75604edd27948d.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Red,148.88
Skullcandy Hesh 3,https://pcpartpicker.com/product/V6wkcf/skullcandy-s6htw-k033-headset-s6htw-k033,https://cdna.pcpartpicker.com/static/forever/images/product/58e6b22858e2341c916694010c54560e.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,
Thermaltake Pulse G100,https://pcpartpicker.com/product/NQ4BD3/thermaltake-pulse-g100-headset-ht-pls-anecbk-28,https://cdna.pcpartpicker.com/static/forever/images/product/2eec37b2928f0639c038747007629c8f.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,39.99
TAKSTAR Sprint,https://pcpartpicker.com/product/RT2WGX/takstar-sprint-in-ear-with-microphone-sprint,/static/forever/img/no-image.png,In Ear,20 Hz - 2 kHz,Yes,No,Closed,Black / Red,12.95
Neumann NDH 20,https://pcpartpicker.com/product/GNZXsY/neumann-ndh-20-headphones-ndh-20,https://cdna.pcpartpicker.com/static/forever/images/product/fd861f885fa612566726faf2eead5062.256p.jpg,Circumaural,5 Hz - 30 kHz,No,No,Open,Silver / Black,549.00
Adesso Xtream P600,https://pcpartpicker.com/product/2W8bt6/adesso-xtream-p600-headset-xtream-p600,https://cdna.pcpartpicker.com/static/forever/images/product/18b5633447a4ac6a02d329f83a3620d3.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,68.34
Logitech ASTRO A50 + Base Station,https://pcpartpicker.com/product/qWjBD3/logitech-astro-a50-base-station-headset-939-001680,https://cdna.pcpartpicker.com/static/forever/images/product/4e7e8935d0144fffecdc73cde282dbe1.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Gold,
GameStop GS101,https://pcpartpicker.com/product/WQbRsY/gamestop-gs101-headset-22vg-gspl-lseriesheadsetv2,https://cdna.pcpartpicker.com/static/forever/images/product/9bb684bfae6b85d1677f6744b926c8b4.256p.jpg,Circumaural,,Yes,No,Closed,Black,30.98
Corsair HS35 v2,https://pcpartpicker.com/product/tLRwrH/corsair-hs35-v2-71-channel-headset-ca-9011386-na,https://cdna.pcpartpicker.com/static/forever/images/product/140c6373f8302e30a7a655787fe1aaa7.256p.jpg,Circumaural,,Yes,No,Closed,Black,49.99
Genius Lychas HS G550,https://pcpartpicker.com/product/jqCwrH/genius-headphones-31710040101,https://images-na.ssl-images-amazon.com/images/I/41tKUNC0KqL.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,
Altec Lansing MZX2051S,https://pcpartpicker.com/product/Mr4gXL/altec-lansing-headphones-mzx2051s,https://cdna.pcpartpicker.com/static/forever/images/product/0f8727817a56bcb2ea74288e4824bfc9.256p.jpg,In Ear,100 Hz - 5 kHz,Yes,No,Closed,Black,
Audio-Technica ATH-ANC9,https://pcpartpicker.com/product/wzqdnQ/audio-technica-headphones-athanc9,https://cdna.pcpartpicker.com/static/forever/images/product/b87e6df4a7fa9a80589e4baf24e93fb1.256p.jpg,Circumaural,10 Hz - 25 kHz,No,No,Closed,Black,
Audio-Technica ATH-CKL202iSBL,https://pcpartpicker.com/product/PgV48d/audio-technica-headphones-athckl202isbl,https://m.media-amazon.com/images/I/41pDTmEs+0L.jpg,In Ear,20 Hz - 23 kHz,Yes,No,Closed,Blue,
