Name,URL,Image,Resolution,Connection,Focus Type,Operating System,FOV Angle,Price
Logitech C505e,https://pcpartpicker.com/product/YJkWGX/logitech-c505e-webcam-960-001385,https://cdna.pcpartpicker.com/static/forever/images/product/1cc5a995953b6b6f672289a7a400586e.256p.jpg,720p,USB 2.0 Type-A,Fixed,"Windows, OS X, ChromeOS",60°,54.99
Asus ROG EYE,https://pcpartpicker.com/product/KLgQzy/asus-rog-eye-webcam-rog-eye,https://m.media-amazon.com/images/I/41xPwtnMubL.jpg,1080p,USB 2.0 Type-A,Auto,"Windows, OS X",,
Avermedia 4K UHD Webcam 510,https://pcpartpicker.com/product/wJQfrH/avermedia-4k-uhd-webcam-510-webcam-pw510,https://cdna.pcpartpicker.com/static/forever/images/product/2b6ff015cbe3af7f030c781aaf9b71d5.256p.jpg,"4k, 1080p, 720p, 480p",USB 3.2 Gen 1 Type-C,,Windows,85°,
Microsoft LifeCam Studio,https://pcpartpicker.com/product/nqMTwP/microsoft-lifecam-studio-webcam-q2f-00013,https://cdna.pcpartpicker.com/static/forever/images/product/3c91dfebe3e19e8f34be04eceb27f37c.256p.jpg,"1080p, 720p",USB 2.0 Type-A,Auto,"Windows, OS X",75°,
Avermedia PW310P,https://pcpartpicker.com/product/ZL7G3C/avermedia-pw310p-webcam-pw310p,https://m.media-amazon.com/images/I/41-byategfL.jpg,1080p,USB 2.0 Type-A,Auto,"Windows, OS X, ChromeOS",73°,59.99
Anker PowerConf C302,https://pcpartpicker.com/product/dPPQzy/anker-powerconf-c302-webcam-a3362,https://cdna.pcpartpicker.com/static/forever/images/product/0c93df2016d73542bef2c237a8a1a1ee.256p.jpg,"2k, 1080p, 720p",USB 3.2 Gen 1 Type-C,Auto,"Windows, OS X",115°,
Microsoft LifeCam Studio for Business,https://pcpartpicker.com/product/Dydrxr/microsoft-lifecam-studio-for-business-webcam-5wh-00002,https://cdna.pcpartpicker.com/static/forever/images/product/1a9648fa4c69787cf6f231687203d856.256p.jpg,"1080p, 720p",USB 2.0 Type-A,Auto,"Windows, OS X",75°,82.00
Avermedia PW315,https://pcpartpicker.com/product/BmxRsY/avermedia-pw315-webcam-pw315,https://cdna.pcpartpicker.com/static/forever/images/product/589062177bcb9c09411ed9add3fa4a70.256p.jpg,1080p,USB 2.0 Type-A,Fixed,"Windows, OS X, ChromeOS",95.8°,99.99
Anker PowerConf C300,https://pcpartpicker.com/product/yrZ9TW/anker-powerconf-c300-webcam-a3361,https://cdna.pcpartpicker.com/static/forever/images/product/891c66e519ea2dc961736d4ce527aac1.256p.jpg,"1080p, 720p",USB 3.2 Gen 1 Type-C,Auto,"Windows, OS X",115°,
Microsoft Lifecam Cinema,https://pcpartpicker.com/product/N77p99/microsoft-lifecam-cinema-webcam-h5d-00013,https://cdna.pcpartpicker.com/static/forever/images/product/cb6c32d086c6810b738a8b870a139fa0.256p.jpg,720p,USB 2.0 Type-A,Auto,Windows,73°,
Creative Labs Live! Cam Sync HD,https://pcpartpicker.com/product/8qMTwP/creative-labs-live-cam-sync-hd-webcam-73vf077000000,https://cdna.pcpartpicker.com/static/forever/images/product/5b828c70f7e7f095f5cb344d85dd028e.256p.jpg,720p,USB 2.0 Type-A,Fixed,"Windows, OS X",,
